seed,budget_kimg,nfe,metric,contrast,value,lower_is_better,status
4,256,1,kid50k_full,D-A,0.023550698188188057,True,PASS
4,256,1,kid50k_full,B-C,0.002904864769769866,True,PASS
4,256,1,kid50k_full,interaction_B-C-D+A,-0.02064583341841819,True,PASS
4,256,2,fid50k_full,B-A,-0.9238465045759341,True,PASS
4,256,2,fid50k_full,C-A,-10.727056703080663,True,PASS
4,256,2,fid50k_full,B-D,-64.06776111615956,True,PASS
4,256,2,fid50k_full,D-A,63.143914611583625,True,PASS
4,256,2,fid50k_full,B-C,9.803210198504729,True,PASS
4,256,2,fid50k_full,interaction_B-C-D+A,-53.340704413078896,True,PASS
4,256,2,kid50k_full,B-A,-0.0016396925500501008,True,PASS
4,256,2,kid50k_full,C-A,-0.012163667014514518,True,PASS
4,256,2,kid50k_full,B-D,-0.07785077292792797,True,PASS
4,256,2,kid50k_full,D-A,0.07621108037787787,True,PASS
4,256,2,kid50k_full,B-C,0.010523974464464417,True,PASS
4,256,2,kid50k_full,interaction_B-C-D+A,-0.06568710591341344,True,PASS
4,384,1,fid50k_full,B-A,-7.7940552696628345,True,PASS
4,384,1,fid50k_full,C-A,-6.0453733791058255,True,PASS
4,384,1,fid50k_full,B-D,-18.970329041566202,True,PASS
4,384,1,fid50k_full,D-A,11.176273771903368,True,PASS
4,384,1,fid50k_full,B-C,-1.748681890557009,True,PASS
4,384,1,fid50k_full,interaction_B-C-D+A,-12.924955662460377,True,PASS
4,384,1,kid50k_full,B-A,-0.008439318691191411,True,PASS
4,384,1,kid50k_full,C-A,-0.0056302287112113825,True,PASS
4,384,1,kid50k_full,B-D,-0.020425322720220407,True,PASS
4,384,1,kid50k_full,D-A,0.011986004029028996,True,PASS
4,384,1,kid50k_full,B-C,-0.0028090899799800284,True,PASS
4,384,1,kid50k_full,interaction_B-C-D+A,-0.014795094009009024,True,PASS
4,384,2,fid50k_full,B-A,-2.344820207812532,True,PASS
4,384,2,fid50k_full,C-A,-3.6836118186501707,True,PASS
4,384,2,fid50k_full,B-D,-23.399403103134844,True,PASS
4,384,2,fid50k_full,D-A,21.054582895322312,True,PASS
4,384,2,fid50k_full,B-C,1.3387916108376388,True,PASS
4,384,2,fid50k_full,interaction_B-C-D+A,-19.715791284484673,True,PASS
4,384,2,kid50k_full,B-A,-0.001923433043043054,True,PASS
4,384,2,kid50k_full,C-A,-0.002972509224224266,True,PASS
4,384,2,kid50k_full,B-D,-0.020273954191691694,True,PASS
4,384,2,kid50k_full,D-A,0.01835052114864864,True,PASS
4,384,2,kid50k_full,B-C,0.0010490761811812119,True,PASS
4,384,2,kid50k_full,interaction_B-C-D+A,-0.017301444967467428,True,PASS
4,512,1,fid50k_full,B-A,-4.365149509848095,True,PASS
4,512,1,fid50k_full,C-A,-2.5570157707365517,True,PASS
