budget_kimg,nfe,metric,contrast,paired_seed_count,mean,sample_std,min,max,negative_count,positive_count,zero_count
512,2,kid50k_full,D-A,3,0.002464324195028359,0.002366008698687447,0.00028119882382383887,0.004978374094094069,0,3,0
512,2,kid50k_full,interaction_B-C-D+A,3,-0.011232310503837172,0.01311317174633611,-0.02627018382382384,-0.00217973511261262,3,0,0
640,1,fid50k_full,B-A,3,-0.9574447977190061,1.296062904452523,-2.241588149308912,0.3502175493773798,2,1,0
640,1,fid50k_full,B-C,3,-2.597618934384395,3.6773127092784152,-6.693937146045268,0.41892108484332446,2,1,0
640,1,fid50k_full,B-D,3,-0.5620384270665753,0.6218287877523757,-1.018421438596775,0.14621239937416597,2,1,0
640,1,fid50k_full,C-A,3,1.640174136665389,2.9327646892163384,-1.3998848780688107,4.452348996736356,1,2,0
640,1,fid50k_full,D-A,3,-0.3954063706524309,1.8886018335352803,-2.387800548683078,1.3686389879741547,2,1,0
640,1,fid50k_full,interaction_B-C-D+A,3,-2.2022125637319636,2.5168162488341648,-4.306136597362189,0.5859786360916939,2,1,0
640,1,kid50k_full,B-A,3,-0.0007843259943276339,0.0010983095332522917,-0.0019284134909909826,0.00026161825075078464,2,1,0
640,1,kid50k_full,B-C,3,-0.0023731561186185897,0.003321616531779624,-0.006092539394394365,0.0002975703028028371,2,1,0
640,1,kid50k_full,B-D,3,-0.0005692963363363272,0.000500637574944043,-0.0010051536986986917,-2.2491916916909938e-05,3,0,0
640,1,kid50k_full,C-A,3,0.001588830124290956,0.002573940546505432,-0.0009837530455455408,0.004164125903403383,1,2,0
640,1,kid50k_full,D-A,3,-0.00021502965799130667,0.00159664808784781,-0.0019059215740740727,0.0012667719494494764,2,1,0
640,1,kid50k_full,interaction_B-C-D+A,3,-0.002158126460627283,0.0022761858365712797,-0.004186617820320293,0.0003035096521521608,2,1,0
640,2,fid50k_full,B-A,3,-0.26149225617745814,0.3256166505608996,-0.6362066965226019,-0.047339154416136786,3,0,0
640,2,fid50k_full,B-C,3,-1.7123838981325743,2.936729386518055,-5.102534442244015,0.05006314719940974,2,1,0
640,2,fid50k_full,B-D,3,-0.1282312536371116,0.034796353271499464,-0.15224892332354134,-0.08832708122432864,3,0,0
640,2,fid50k_full,C-A,3,1.450891641955116,2.611759478763155,-0.09740230161554653,4.466327745721413,2,1,0
640,2,fid50k_full,D-A,3,-0.13326100254034653,0.36039405594456286,-0.5478796152982732,0.10490976890740455,1,2,0
640,2,fid50k_full,interaction_B-C-D+A,3,-1.5791228955922276,2.5771448753385373,-4.554654826945741,-0.054846621707994814,3,0,0
640,2,kid50k_full,B-A,3,3.7285633133133126e-05,0.0005714219721523106,-0.0004205232057057221,0.0006776889839839805,2,1,0
640,2,kid50k_full,B-C,3,-0.0010140267225559106,0.0016280474199176541,-0.0028915312862863173,7.01080330329216e-06,2,1,0
640,2,kid50k_full,B-D,3,2.600977560892577e-05,0.00042126012282406577,-0.0004003244044044139,0.0004420055280280168,1,2,0
640,2,kid50k_full,C-A,3,0.0010513123556890437,0.002191631326334022,-0.00042753400900901427,0.003569220270270298,1,2,0
640,2,kid50k_full,D-A,3,1.1275857524207358e-05,0.00021044303690927432,-0.00018165708208203344,0.00023568345595596373,2,1,0
640,2,kid50k_full,interaction_B-C-D+A,3,-0.001025302580080118,0.0018203099940785747,-0.003127214742242281,2.7209604604600587e-05,1,2,0
768,1,fid50k_full,B-A,3,-0.8300036055430914,1.0907045297946634,-1.8425628158841931,0.3248739147333062,2,1,0
768,1,fid50k_full,B-C,3,-1.6070163113762443,2.258430393434095,-4.099777769364609,0.3027746053318978,2,1,0
768,1,fid50k_full,B-D,3,-0.4641300421668249,0.1714552002948963,-0.612871680677463,-0.2766052153022258,3,0,0
