seed,arm,budget_kimg,state_sha256,state_hash_verified,snapshot_sha256,snapshot_hash_verified,ema_canonical_sha256,rng_unchanged_during_export,receipt_status
4,A,768,7d11f8702017d84726edd59479ad3bb4317894843356457585f5ee960b896816,True,6a530bc7abcf0b5238db5eb7fa690386da15de912c61134d65190275cd95cab2,True,a5d039c097641a26408099be8fd5aee70698d70eb60cbd5cd1d116718be2f192,True,PASS
4,A,896,bdcc38a3cef6253badd815b497261ad771f075c1a375e1cbcf735179c168fec9,True,2fca35c60e1f75c9fc517d3f7f42382c44e0a3b253de4371561157693cdd63b3,True,accaf94f09719caa113b392e9e0d3fc23dd6d263551b2df2582ef53316c690b4,True,PASS
4,A,1024,998d88f2e6838384a8a26c398ec323ae3033be696709be01d313979ecbc99be1,True,29a95a21b53989560cbca72c6095478d800b0ee8c5870d803a2e2aa4701d2786,True,80c05682f6490151b84834d7181cd73120741f4f95a9d9d25ef3a40a66472c30,True,PASS
4,Bmatch,256,3960b00373ba0f90e906407ac4c306ba3aa3e76b67d3ded0ba5f309c193e7416,True,6fd7c542dba66403e13b6b6c1496cc80858a4cc3cd0fbe156a0f9cf12c01c3c1,True,710b56e02044c01ff9a9ea7026f168478a50ce98e1beaf220d5ae8baac4454dc,True,PASS
4,Bmatch,384,42bdb805a2fae3c837dc699573f0d29e42db1e0de4dc30f39ffcfe9bd5bad7a0,True,d6a9571ce46830e70c340c8e7a3a7bcb7654a4680fa1a79d6529d12842f3a807,True,0db1d34613b886667e6378bd7879f28af98039cebb224a351d276418f6a4e69a,True,PASS
4,Bmatch,512,fae6be51af3aa37802a905890b2c00c90cb07ee772677fe94c560b9d539dc5d2,True,361bb7f3301174c99e3e9491ccbd0597b757c1654721bb23ec8691d422268604,True,d4debe710849ff89e5e11a7588c1b3fd31d62b1ebcd5e242852017fcc5767cc6,True,PASS
4,Bmatch,640,d7eff4425ba9dab2c41a0f2cd1a281a66ac0c9c773a8c5e8691aa62c3f479ab3,True,40292d107639e74cf1892ba560b453a62088936ed947f8a1022400115abcd781,True,9c0223b889c6b8548a0eb3a2d65218b8c5b1b5ea1805aeb0540a144a61f0a8fe,True,PASS
4,Bmatch,768,56e1c02138679417a4fddb94d171d8691cb92c615b082544265773a8fc653ca6,True,9c2110f4a99fdd0deaffc1560a75c236adaf3e324ad76d5e908b67b6121b0a14,True,b832df74b7f439b884461cbc5782a494d305510ae99b5e062829cbf9b1b75fc0,True,PASS
4,Bmatch,896,740b6ec77ba9a6f047c1fb51e79e69ec3006a457f721d8475a4f77684968fec1,True,dd6151b6214cfd5fd4a20e70e1fe6c8972675a2d1d063ae43cf22b1d5646532c,True,4fc8e515e06359d9ea251a6109c1b66f0be35f113fd21e64ab24c0333de64a8c,True,PASS
4,Bmatch,1024,e23414657055697f2c83e950a6c03eef5eb212f16dd3567339e80d7d4d025e59,True,00a29790d35df93b06fc03fd78445c9e92b35c7d73acca0b4c2797c759fde0f2,True,cbdf196ae8ef62df9c8e97c51374c4985f015f7422b95157c53b2160936384ed,True,PASS
