control,eta_scale,g,K,noise,error
fixed_lr,0.05,1.2,1000,0.05,0.00032575349759804434
fixed_lr,0.05,1.25,50,0.0,9.881013502121373e-05
fixed_lr,0.05,1.25,50,0.01,9.932166091429459e-05
fixed_lr,0.05,1.25,50,0.05,0.00011159828234823465
fixed_lr,0.05,1.25,200,0.0,9.87533082864441e-05
fixed_lr,0.05,1.25,200,0.01,0.00010061869117641073
fixed_lr,0.05,1.25,200,0.05,0.00014538788053560962
fixed_lr,0.05,1.25,1000,0.0,9.860995486160632e-05
fixed_lr,0.05,1.25,1000,0.01,0.0001076895889033554
fixed_lr,0.05,1.25,1000,0.05,0.0003256008059053324
fixed_lr,0.05,1.3,50,0.0,9.879434888626767e-05
fixed_lr,0.05,1.3,50,0.01,9.930153775012088e-05
fixed_lr,0.05,1.3,50,0.05,0.00011147407048259857
fixed_lr,0.05,1.3,200,0.0,9.875026345460778e-05
fixed_lr,0.05,1.3,200,0.01,0.0001006112748159968
fixed_lr,0.05,1.3,200,0.05,0.00014527554748933414
fixed_lr,0.05,1.3,1000,0.0,9.859522619432307e-05
fixed_lr,0.05,1.3,1000,0.01,0.00010766984799012486
fixed_lr,0.05,1.3,1000,0.05,0.0003254607710893693
fixed_lr,0.05,1.35,50,0.0,9.878575237789506e-05
fixed_lr,0.05,1.35,50,0.01,9.92890737584038e-05
fixed_lr,0.05,1.35,50,0.05,0.00011136878689061492
fixed_lr,0.05,1.35,200,0.0,9.874710392797547e-05
fixed_lr,0.05,1.35,200,0.01,0.00010060421731678998
fixed_lr,0.05,1.35,200,0.05,0.000145174938648339
fixed_lr,0.05,1.35,1000,0.0,9.857992684682647e-05
fixed_lr,0.05,1.35,1000,0.01,0.00010764998489527148
fixed_lr,0.05,1.35,1000,0.05,0.0003253313780579526
fixed_lr,0.05,1.4,50,0.0,9.87809875891056e-05
fixed_lr,0.05,1.4,50,0.01,9.928084709228786e-05
fixed_lr,0.05,1.4,50,0.05,0.00011127747516866215
fixed_lr,0.05,1.4,200,0.0,9.874382971718198e-05
fixed_lr,0.05,1.4,200,0.01,0.00010059745219904065
fixed_lr,0.05,1.4,200,0.05,0.00014508439176364764
fixed_lr,0.05,1.4,1000,0.0,9.856405708360711e-05
fixed_lr,0.05,1.4,1000,0.01,0.00010762993339968156
fixed_lr,0.05,1.4,1000,0.05,0.000325210964985468
fixed_lr,0.05,1.45,50,0.0,9.877818766161839e-05
fixed_lr,0.05,1.45,50,0.01,9.9274936946676e-05
fixed_lr,0.05,1.45,50,0.05,0.0001111969197880585
fixed_lr,0.05,1.45,200,0.0,9.874044083324821e-05
fixed_lr,0.05,1.45,200,0.01,0.00010059092424520084
fixed_lr,0.05,1.45,200,0.05,0.0001450025261320636
fixed_lr,0.05,1.45,1000,0.0,9.854761717898761e-05
fixed_lr,0.05,1.45,1000,0.01,0.0001076096385584276
fixed_lr,0.05,1.45,1000,0.05,0.000325098151664987
fixed_lr,0.05,1.5,50,0.0,9.877635271900638e-05
fixed_lr,0.05,1.5,50,0.01,9.927029788889255e-05
fixed_lr,0.05,1.5,50,0.05,0.00011112498196616095
fixed_lr,0.05,1.5,200,0.0,9.873693728760227e-05
fixed_lr,0.05,1.5,200,0.01,0.00010058458728566388
fixed_lr,0.05,1.5,200,0.05,0.00014492818723914306
fixed_lr,0.05,1.5,1000,0.0,9.853060741722452e-05
fixed_lr,0.05,1.5,1000,0.01,0.00010758905448282431
fixed_lr,0.05,1.5,1000,0.05,0.0003249917840572202
fixed_lr,0.05,1.55,50,0.0,9.877496692018824e-05
fixed_lr,0.05,1.55,50,0.01,9.926637551773264e-05
fixed_lr,0.05,1.55,50,0.05,0.00011106018185879903
fixed_lr,0.05,1.55,200,0.0,9.873331909207503e-05
fixed_lr,0.05,1.55,200,0.01,0.00010057840247710524
fixed_lr,0.05,1.55,200,0.05,0.00014486040371783056
fixed_lr,0.05,1.55,1000,0.0,9.851302809247767e-05
fixed_lr,0.05,1.55,1000,0.01,0.00010756814261976779
fixed_lr,0.05,1.55,1000,0.05,0.0003248908912747314
fixed_lr,0.05,1.6,50,0.0,9.877377398725704e-05
fixed_lr,0.05,1.6,50,0.01,9.926288080979047e-05
fixed_lr,0.05,1.6,50,0.05,0.00011100144455059324
fixed_lr,0.05,1.6,200,0.0,9.87295862588786e-05
fixed_lr,0.05,1.6,200,0.01,0.00010057233695183477
fixed_lr,0.05,1.6,200,0.05,0.00014479835358278292
fixed_lr,0.05,1.6,1000,0.0,9.84948795086932e-05
fixed_lr,0.05,1.6,1000,0.01,0.00010754687040384805
fixed_lr,0.05,1.6,1000,0.05,0.0003247946518875658
fixed_lr,0.05,1.65,50,0.0,9.877265135230691e-05
fixed_lr,0.05,1.65,50,0.01,9.925966328177051e-05
fixed_lr,0.05,1.65,50,0.05,0.00011094794958889736
fixed_lr,0.05,1.65,200,0.0,9.872573880064074e-05
fixed_lr,0.05,1.65,200,0.01,0.00010056636274745886
fixed_lr,0.05,1.65,200,0.05,0.00014474133747109367
fixed_lr,0.05,1.65,1000,0.0,9.8476161979769e-05
fixed_lr,0.05,1.65,1000,0.01,0.00010752521018240898
fixed_lr,0.05,1.65,1000,0.05,0.00032470236704576955
fixed_lr,0.05,1.7,50,0.0,9.877154261074943e-05
fixed_lr,0.05,1.7,50,0.01,9.925664263267911e-05
fixed_lr,0.05,1.7,50,0.05,0.00011089904315899078
fixed_lr,0.05,1.7,200,0.0,9.87217767303831e-05
fixed_lr,0.05,1.7,200,0.01,0.00010056045595521029
fixed_lr,0.05,1.7,200,0.05,0.00014468875735106188
fixed_lr,0.05,1.7,1000,0.0,9.845687582943667e-05
fixed_lr,0.05,1.7,1000,0.01,0.00010750313836683386
