g,lambda_min,lambda_max,cond,eta,eta_lambda_max,spectral_radius,stable,stability_margin,asym_min,asym_max,asym_norm2
1.1,7.399947890672265e-05,6.364999531512973,86014.11287687771,0.1900277384385866,1.2095264661360736,0.9999859380463777,True,0.7904735338639264,-2.5184304552674045e-07,0.027408684267486508,8.308240800437034e-05
1.15,8.087967810468157e-05,6.955425074723502,85997.19036617802,0.1900277384385866,1.3217236968287445,0.9999846306176842,True,0.6782763031712555,-2.8779810856364875e-07,0.03131562951802838,9.493460351088288e-05
1.2,8.806567492538936e-05,7.571910465587557,85980.26952047549,0.1900277384385866,1.438873021435069,0.9999832650789598,True,0.5611269785649311,-3.27024781240215e-07,0.035576961368617,0.00010786356200665522
1.25,9.555747030736312e-05,8.214440297623213,85963.35033986616,0.1900277384385866,1.5609715122961294,0.9999818414300266,True,0.4390284877038706,-3.696659761680745e-07,0.0402080153986749,0.00012191609927377158
1.3,0.00010335506518978084,8.882999167371343,85946.4328241713,0.1900277384385866,1.6880162423274243,0.9999803596707059,True,0.3119837576725757,-4.158646619208576e-07,0.045224121141429645,0.00013713903109307922
1.35,0.00011145846051196476,9.57757167439674,85929.51697344334,0.1900277384385866,1.8200042850190798,0.999978819800819,True,0.17999571498092015,-4.6576386308527223e-07,0.05064060208407688,0.00015357917324834033
1.4,0.00011986765721368165,10.298142421286641,85912.60278766185,0.1900277384385866,1.956932714435571,0.9999772218201878,True,0.04306728556442896,-5.195066602585574e-07,0.0564727756679258,0.00017128334152151183
1.45,0.0001285826562350493,11.044696013650919,85895.69026682104,0.1900277384385866,2.098798605215757,1.098798605215757,False,-0.09879860521575701,-5.772361900846282e-07,0.0627359532862642,0.0001902983516909444
1.5,0.00013760345851649347,11.817217060124545,85878.7794109703,0.1900277384385866,2.2455990325733506,1.2455990325733506,False,-0.24559903257335058,-6.390956453245254e-07,0.06944544028828518,0.00021067101954442478
1.55,0.0001469300649989103,12.615690172363704,85861.87022007557,0.1900277384385866,2.397331072296178,1.3973310722961778,False,-0.3973310722961778,-7.05228274807162e-07,0.07661653597570176,0.0002324481608613951
1.6,0.00015656247662349757,13.44009996504884,85844.96269415613,0.1900277384385866,2.553991800746758,1.5539918007467581,False,-0.5539918007467581,-7.757773835115151e-07,0.08426453360372715,0.00025567659142345745
1.65,0.00016650069433186445,14.290431055883092,85828.05683320342,0.1900277384385866,2.715578294862007,1.715578294862007,False,-0.7155782948620071,-8.508863325806366e-07,0.09240472038223199,0.0002804031270139058
1.7,0.00017674471906585824,15.166668065592646,85811.15263727498,0.1900277384385866,2.8820876321533038,1.8820876321533038,False,-0.8820876321533038,-9.306985393596496e-07,0.10105237747384443,0.00030667458341657037
1.75,0.0001872945517678873,16.068795617927528,85794.25010633231,0.1900277384385866,3.053516890706639,2.053516890706639,False,-1.0535168907066388,-1.01535747734841e-06,0.11022277999576856,0.00033453777640624137
1.8,0.00019815019338045533,16.99679833966009,85777.34924046043,0.1900277384385866,3.2298631491823304,2.2298631491823304,False,-1.2298631491823304,-1.1050066763978707e-06,0.11993119701794046,0.0003640395217736841
1.85,0.00020931164484692727,17.95066086058687,85760.45003953055,0.1900277384385866,3.4111234868153755,2.4111234868153755,False,-1.4111234868153755,-1.1997897225415725e-06,0.13019289156575697,0.0003952266352974766
1.9,0.00022077890711076566,18.930367813526814,85743.55250354316,0.1900277384385866,3.5972949834151122,2.5972949834151122,False,-1.5972949834151122,-1.2998502581399093e-06,0.14102312061637368,0.00042814593275761583
1.95,0.00023255198111563253,19.935903834321635,85726.65663256097,0.1900277384385866,3.788374719365288,2.788374719365288,False,-1.788374719365288,-1.4053319819199737e-06,0.15243713510091939,0.00046284422994089257
2.0,0.0002446308678058696,20.967253561837165,85709.76242653087,0.1900277384385866,3.9843597756243163,2.9843597756243163,False,-1.9843597756243163,-1.5163786488876542e-06,0.16445017990570404,0.0004993683426237021
