layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual
model.dec.16x16_block4.conv0,0.9,0.8986849598062938,1.112707079038376,0.9999817326762529,0.006044362149890125
model.dec.16x16_block4.conv0,1.0,0.807641615809467,1.0,1.0,0.0
model.dec.16x16_block4.conv0,1.2,0.6699852154551768,0.8295350788020425,0.9999728888930045,0.0073635235437168245
model.dec.16x16_block4.conv0,1.3,0.617261171266222,0.7642337946824722,0.9999446677123726,0.010519577633757656
model.dec.16x16_block4.conv1,0.9,0.5537793676896123,1.112616714232908,0.999985154441678,0.005448935332074537
model.dec.16x16_block4.conv1,1.0,0.4977196005072677,1.0,1.0,0.0
model.dec.16x16_block4.conv1,1.2,0.4128315433870781,0.8294244775870984,0.9999740239047862,0.007207739983504691
model.dec.16x16_block4.conv1,1.3,0.3803999902352292,0.7642458008038253,0.9999477508667126,0.01022230583590215
model.dec.16x16_block4.norm0,0.9,4.226812446715174,1.1122801700276181,0.9999900993506778,0.004449853999987608
model.dec.16x16_block4.norm0,1.0,3.800095256955302,1.0,1.0,0.0
model.dec.16x16_block4.norm0,1.2,3.1531086278066653,0.8297241607936235,0.9999753323457009,0.007023866464064498
model.dec.16x16_block4.norm0,1.3,2.9051875058927368,0.7644592337573412,0.9999416225095845,0.010805164177372532
model.dec.16x16_block4.norm1,0.9,2.3704445389530906,1.1132167444135255,0.9999898220845324,0.004511732189059477
model.dec.16x16_block4.norm1,1.0,2.129343117290027,1.0,1.0,0.0
model.dec.16x16_block4.norm1,1.2,1.7643337236158816,0.8285590351808991,0.9999732223080382,0.007318105415938609
model.dec.16x16_block4.norm1,1.3,1.624205561058447,0.7627232558194192,0.9999347090757055,0.011427054987349522
model.dec.16x16_block4.norm2,0.9,26.569536861783575,1.1147735759376467,0.9999884243294767,0.0048115701232122245
model.dec.16x16_block4.norm2,1.0,23.83374514347568,1.0,1.0,0.0
model.dec.16x16_block4.norm2,1.2,19.721154955301586,0.8274194687279952,0.9999670297764013,0.008120305422948417
model.dec.16x16_block4.norm2,1.3,18.133537154309842,0.7607760691925499,0.9999231142877685,0.012400222298422114
model.dec.16x16_block4.proj,0.9,1.0201650199246555,1.1128678011987572,0.9999898019146825,0.004516200464344166
model.dec.16x16_block4.proj,1.0,0.9166898486018339,1.0,1.0,0.0
model.dec.16x16_block4.proj,1.2,0.760049079095294,0.8291034171593111,0.9999758000571703,0.006956960544848521
model.dec.16x16_block4.proj,1.3,0.7000787720091215,0.7636623211554374,0.9999467567826523,0.010319089100062762
model.dec.16x16_block4.qkv,0.9,1.743330676248515,1.1149364436579083,0.9999810448091436,0.006157111531688966
model.dec.16x16_block4.qkv,1.0,1.5635847594714651,1.0,1.0,0.0
model.dec.16x16_block4.qkv,1.2,1.2927262688864127,0.8267414326430155,0.999964443530471,0.008432773849417574
model.dec.16x16_block4.qkv,1.3,1.188284163615341,0.7599206527648563,0.999929467591027,0.011876861669873872
model.dec.16x16_block4.skip,0.9,6.707833028376598,1.1129199971221277,0.9999750036183953,0.007070511890241832
model.dec.16x16_block4.skip,1.0,6.027086739538929,1.0,1.0,0.0
model.dec.16x16_block4.skip,1.2,4.99686727700526,0.8290353327073507,0.9999600916685423,0.008933928040919772
model.dec.16x16_block4.skip,1.3,4.602966913954943,0.7636546942771919,0.9999231294734812,0.012398997699802582
model.dec.16x16_up.affine,0.9,0.10984401022867366,1.1128196694452919,0.9999209006065944,0.012577461194422069
model.dec.16x16_up.affine,1.0,0.09870001820586531,1.0,1.0,0.0
model.dec.16x16_up.affine,1.2,0.08177032585083867,0.82831492097056,0.9998088784569233,0.019550103803032418
model.dec.16x16_up.affine,1.3,0.07531439751917558,0.7627506506820472,0.9995897940986112,0.028639894097159044
model.dec.16x16_up.conv0,0.9,0.2118691465119364,1.111267034507407,0.9998080140293426,0.019594261473753455
model.dec.16x16_up.conv0,1.0,0.19061887379939102,1.0,1.0,0.0
model.dec.16x16_up.conv0,1.2,0.15826822095970122,0.8301159662819176,0.9997949661406941,0.020249090837079285
model.dec.16x16_up.conv0,1.3,0.14585765459551936,0.764951298622384,0.999701767172525,0.024420825377749093
model.dec.16x16_up.conv1,0.9,0.14097922344115407,1.111121716226268,0.9998062912885729,0.019681968900219962
model.dec.16x16_up.conv1,1.0,0.12685551229811437,1.0,1.0,0.0
model.dec.16x16_up.conv1,1.2,0.10544757366923406,0.8310829924083566,0.9998092425996904,0.019531472351912098
model.dec.16x16_up.conv1,1.3,0.09722256201651693,0.7661913075633204,0.99972258314685,0.02355327463834865
model.dec.16x16_up.norm0,0.9,0.41442136646360295,1.112513825187828,0.9998760172016994,0.015746435306660984
model.dec.16x16_up.norm0,1.0,0.3724627739102068,1.0,1.0,0.0
model.dec.16x16_up.norm0,1.2,0.3059886424204804,0.8212588613801934,0.9996722466177755,0.025600768390203574
model.dec.16x16_up.norm0,1.3,0.2815847111773643,0.7555912920213186,0.9994492506071853,0.033184265258342414
model.dec.16x16_up.norm1,0.9,0.4640171619593519,1.1135537953808494,0.9998955904250107,0.014450198912801568
model.dec.16x16_up.norm1,1.0,0.41665585986889914,1.0,1.0,0.0
model.dec.16x16_up.norm1,1.2,0.3446981411929391,0.8271319269984743,0.9998004720184092,0.019975388651194748
model.dec.16x16_up.norm1,1.3,0.3167889459052744,0.7600364113035131,0.9996359676578761,0.026980218025469987
model.dec.16x16_up.skip,0.9,2.407548862040778,1.1103733011898362,0.9998024379228309,0.019876748314649507
model.dec.16x16_up.skip,1.0,2.167805385006442,1.0,1.0,0.0
