layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block4.proj,0.004346251973739879,0.004197182735056441,0.996604018891792,0.9624221529386272,1.0319999050713955,0.0795191227132328,0.08237298851151127,0.0,65715,65792,0.9988296449416343,1.0,0.9624221529386272,0.07946925877403488,0.4704328314997105,0.961038961038961,1.4421659919028331,65715,0.9624290900284762,0.07948865103512703,0.9609377052687885,0.0023302059738483246,0.0023302059724929548,7.337279815055452e-09,0.004346235792639044,0.004197192522301234,0.9624297832979438,1.0319955897977626,0.07949777936137627,0.08235026543717511,0.0
model.dec.16x16_block4.qkv,0.008373949292728985,0.008126316072638366,0.996135651899797,0.9666780721481258,1.0264908924444742,0.08523079305738954,0.08788365411698215,0.0,197256,197376,0.9993920233463035,1.0,0.9666780721481258,0.08520878592965947,0.453781512605042,0.9668141592920354,1.5,197256,0.9666787471223124,0.08523035606451346,0.9668043768436845,0.0016644328038352204,0.001664432802551877,1.2886879798503875e-08,0.00837394860001776,0.008126319430540591,0.9666792092583073,1.0264910817658048,0.08522337543609358,0.08787599206397236,0.0
model.dec.16x16_block4.skip,0.006377808857377566,0.0061706854202357685,0.9963256926637676,0.9639693761619818,1.0297680719010027,0.0828638954058159,0.08564529779804976,0.0,131300,131328,0.9997867933723197,1.0,0.9639693761619818,0.08285343730538361,0.4493615217279595,0.9636868425271622,1.4888280060882795,131300,0.9639695124509817,0.08286186437359468,0.9636447646301816,0.0007909727086907381,0.0007909727087084936,3.4539579712924943e-09,0.006377804833530749,0.006170682192114684,0.9639695165812782,1.0297679999373701,0.08286347941142408,0.08564485809884659,0.0
model.dec.16x16_up.affine,0.007016881295266337,0.006764236773443656,0.9948708350877814,0.9590502681108757,1.0320293017152178,0.09751140034918065,0.10117810902011655,0.0,131256,131328,0.9994517543859649,0.9999999999999999,0.9590502681108758,0.0974967708167209,0.436965326671209,0.9579958415971497,1.5987045159194282,131256,0.9590516066030896,0.0975172433862417,0.9580225289066465,0.0013251788407054098,0.0013251788398801567,6.8821609147826754e-09,0.007016872940741296,0.006764235016257169,0.9590510082061524,1.0320281767852568,0.09751299239753472,0.1011796256147762,0.0
model.dec.16x16_up.conv0,0.015664003001234644,0.015144058847914981,0.9957113682251184,0.9626601549265916,1.0298973357719792,0.0894432921582822,0.09251434019024316,0.0,589616,590080,0.9992136659436008,1.0,0.9626601549265917,0.08941083815938826,0.4230769230769231,0.9660574412532638,1.4933333333333334,589616,0.9626605389363918,0.08944140591703502,0.9660400638162698,0.0018494899912717788,0.0018494899877302261,6.977920441211698e-08,0.01566401581375704,0.015144067415345082,0.9626604295203485,1.0298981490884866,0.08943770068474843,0.09250858015832633,0.0
model.dec.16x16_up.conv1,0.015354939361204733,0.014777855387312657,0.9953694193489651,0.9579604966240838,1.0342391825827901,0.09251085377012078,0.09622213408655136,0.0,589574,590080,0.999142489154013,1.0,0.9579604966240837,0.092478983230183,0.410187769823761,0.9630321135175504,1.5,589574,0.9579602671542525,0.09251316164936042,0.9630330460055581,0.0019080827908843996,0.0019080827895482898,6.81062251205974e-08,0.015354950025189166,0.014777851693264035,0.9579600007761544,1.0342406008696832,0.09250653191712882,0.09621776658458515,0.0
model.dec.16x16_up.norm0,0.00046045737527624015,0.00044585077874831043,0.9954117090413149,0.9638353286990068,1.0280225687867262,0.09264923318164853,0.0956985207646328,0.0,510,512,0.99609375,1.0,0.9638353286990068,0.09260002653614176,0.3920138888888889,0.9637559615229165,1.4959386281588445,510,0.9637554643526983,0.09270069121875692,0.9645307856373742,0.0026899106812096475,0.002689910681397291,9.469180937180242e-11,0.00046043620561925827,0.00044579313610082483,0.9637537725219336,1.0281068884815288,0.09265455692589819,0.0957106391958779,0.0
model.dec.16x16_up.norm1,0.0004220003619955211,0.0004081722910875952,0.9951517068014321,0.9625426628169159,1.0288654807793929,0.09512903594308465,0.09835523144943085,0.0,510,512,0.99609375,1.0,0.9625426628169159,0.09506544600531204,0.41278375149342894,0.9621417197452229,1.5597826086956472,510,0.9626903460898338,0.09505697238673,0.9654449027188621,0.004724074702460612,0.00472407470278097,1.0552740704348386e-10,0.00042199415385568836,0.00040821990609761017,0.9626820374626601,1.0287441543301665,0.09501063298461433,0.09822097669116539,0.0
model.dec.16x16_up.skip,0.00523203574249879,0.005050020666536098,0.9956300723025889,0.9609935193125387,1.0315150112379377,0.09013627343859971,0.09340121111648929,0.0,65784,65792,0.9998784046692607,0.9999999999999999,0.960993519312539,0.09013150532758947,0.40214131057759667,0.9618568299268948,1.5120944495775575,65784,0.9609938879828146,0.09012856629792117,0.9618424228947985,0.0004988917172327888,0.0004988917173930796,1.1528138279020123e-09,0.005232033925172154,0.005050021186299301,0.9609939178767535,1.03151451013187,0.09013667802520978,0.09340156524183071,0.0
model.dec.32x32_aux_conv,0.0018550645898104076,0.001754898469478788,0.9990695931797828,0.9451238030225053,1.0560945019312447,0.040798421363390625,0.049827968236057715,0.0,6914,6915,0.9998553868402025,1.0,0.9451238030225053,0.04079780139697736,0.7322151970904551,0.9449756958333984,1.156059574468085,6914,0.9451229373263549,0.040796735298884085,0.9450495883368872,0.00022336089782036783,0.00022336089752186922,8.529225476504262e-12,0.0018550677998835253,0.0017548995129337706,0.9451228908440825,1.0560958817604293,0.040794637511532665,0.04982482092818874,0.0
model.dec.32x32_aux_norm,0.0004349564346438862,0.00040810859428812464,0.9989777430282153,0.9373154871617413,1.064696513324058,0.042414465689012096,0.05586526335386648,0.0,509,512,0.994140625,1.0,0.9373154871617414,0.042357756284536315,0.6586349382032834,0.9398978656540526,1.251788796462936,509,0.93731400015109,0.04235719170029068,0.9409716357385088,0.0022067092190371953,0.00220670921938982,4.456085146908349e-11,0.0004349639541816791,0.0004081146984584526,0.9373128516280128,1.0646984827380357,0.04242432946846861,0.05587446875435791,0.0
model.dec.32x32_block0.affine,0.0068810561192041205,0.0065466725247063234,0.9958966760425128,0.94750126921621,1.0467639691638289,0.0860998605250551,0.09194016248188043,0.0,131283,131328,0.9996573464912281,0.9999999999999999,0.9475012692162104,0.08608608011135005,0.24587456760415102,0.9413243922883487,1.5046997138752258,131283,0.947501461387467,0.08609948277471942,0.9413325040569637,0.0011270181076770455,0.0011270180893525445,5.504570650127195e-09,0.006881056142748623,0.006546672126984912,0.9475013969119341,1.0467642445859786,0.08609778059229291,0.09193793220304479,0.0
model.dec.32x32_block0.conv0,0.019409380887506714,0.018659260970793696,0.995921667720422,0.9574319970414363,1.0359586595183536,0.0867352842300049,0.09042173187771939,0.0,1178942,1179904,0.999184679431547,1.0000000000000002,0.9574319970414362,0.08670511142849897,0.4230769230769231,0.9572953736654805,1.4871794871794872,1178942,0.9574315376881423,0.08673298943483503,0.9572917295422331,0.0018258745641362257,0.001825874561085516,9.659231258635131e-08,0.019409376577463593,0.018659236634297624,0.9574313797680242,1.035960233845936,0.08673056665157426,0.09041698347504247,0.0
model.dec.32x32_block0.conv1,0.01343232021230618,0.012938094859864172,0.9959051405896241,0.9592620617077062,1.0339479571277523,0.08707805917808094,0.09049637940574967,0.0,589319,590080,0.9987103443600868,1.0,0.9592620617077062,0.08702013589273595,0.42857142857142855,0.9592404811611492,1.4900714603565153,589319,0.9592636642778488,0.08705706428127176,0.959217053839012,0.002517278662882245,0.002517278649206862,8.914619998340514e-08,0.013432318958375343,0.01293809437911616,0.9592636775427092,1.0339495825639078,0.08706085595362023,0.09047856904818102,0.0
model.dec.32x32_block0.norm0,0.0005331435525599047,0.000509149598873973,0.9957887188733429,0.9509735686442954,1.0427158076002343,0.08755191366940829,0.09251506836948682,0.0,1022,1024,0.998046875,1.0,0.9509735686442954,0.08749121967337013,0.3885244150016028,0.9446311847853459,1.5,1022,0.951067656336293,0.08752101780125945,0.9445292839463078,0.0024415746019455227,0.0024415746008519695,1.4795595214344128e-10,0.000533118204096573,0.0005091748851467105,0.9510697950538886,1.0426185937880588,0.0875193705432056,0.09246011207314876,0.0
model.dec.32x32_block0.norm1,0.000405250912616109,0.0003839250918703825,0.9958201982979825,0.9434164099714305,1.0511348508006806,0.08652887181546455,0.0935629358095256,0.0,509,512,0.994140625,1.0,0.9434164099714305,0.08635068377296387,0.3685318029650885,0.9444444444444444,1.525423728813558,509,0.9431521959708009,0.086675464304396,0.9451015946844903,0.004445813303160562,0.004445813305365365,2.4786973629677694e-10,0.00040534032158866116,0.00038390505376284035,0.9431434372146832,1.051404191495741,0.0866757058244109,0.09379279865841679,0.0
model.dec.32x32_block0.skip,0.006316778060965392,0.006110368194880822,0.9967638651532212,0.9641931631373313,1.030434814163558,0.07775859799589134,0.08038834119307929,0.0,131301,131328,0.9997944078947368,1.0,0.9641931631373313,0.07774804284853602,0.47513812154696133,0.9627737226277372,1.4543761638733705,131301,0.964193653224361,0.07775207689660397,0.9627769806054799,0.0007280384317920231,0.0007280384315486015,3.2089118325739192e-09,0.00631677712126359,0.006110369253412002,0.9641935776683261,1.0304345935773715,0.07775733266505931,0.08038699891842392,0.0
model.dec.32x32_block1.affine,0.006755047337082445,0.006443069288019262,0.9957314371073164,0.9497441426239307,1.0439454694656616,0.08803518810531547,0.0932909658294936,0.0,131277,131328,0.9996116593567251,1.0,0.9497441426239307,0.08801157893352549,0.36363636363636365,0.9387308533916849,1.5,131277,0.9497417546780477,0.0880259974172682,0.9387527138142885,0.0010270354271748748,0.001027035423151028,9.292207667878375e-09,0.0067550601760951725,0.0064430653798466745,0.9497418219754877,1.0439481534501467,0.08803431394627642,0.09329054801127536,0.0
