batch_index,gap,loss_mean,grad_l2,grad_l2_sq,grad_linf,dot_to_g1,t_mean,t_min,t_max,gap_mean,scalar_fit_to_g1,direction_residual_to_g1
14,0.9,14.520709991455078,495.6892767813636,245707.85911603132,59.375,222139.3335936213,2.4142794609069824,0.002181067829951644,31.987140655517578,0.024382609874010086,1.109149819671605,0.014928978558986734
14,1.2,14.406562805175781,370.1370315427333,137001.42211926635,44.375,165867.86339207395,2.4142794609069824,0.002181067829951644,31.987140655517578,0.03251015394926071,0.8252568972250803,0.017002150525675764
14,1.3,14.381505966186523,343.64637594084803,118092.83169727864,40.8125,153986.20329272284,2.4142794609069824,0.002181067829951644,31.987140655517578,0.035219330340623856,0.7553912042256966,0.025263477133152523
15,1.0,14.54246997833252,629.5955719463742,396390.58421448205,48.0,396390.58421448205,4.2856926918029785,0.0019409459782764316,215.34205627441406,0.02842838689684868,1.0,0.0
15,0.9,14.566035270690918,703.7586432832582,495276.22799589223,53.46875,443066.6405282862,4.2856926918029785,0.0019409459782764316,215.34205627441406,0.025585543364286423,1.109149819671605,0.011599333604612306
15,1.2,14.526147842407227,529.2458815935677,280101.2031837526,40.15625,333194.74405311054,4.2856926918029785,0.0019409459782764316,215.34205627441406,0.034114062786102295,0.8252568972250803,0.02070440359608147
15,1.3,14.516060829162598,486.4804222801243,236663.20126184804,36.96875,306262.04528572096,4.2856926918029785,0.0019409459782764316,215.34205627441406,0.036956898868083954,0.7553912042256966,0.025562827918117793
16,1.0,16.636693954467773,561.3705233333773,315136.8644675899,42.4375,315136.8644675899,2.840543508529663,0.00142796547152102,159.30889892578125,0.029469888657331467,1.0,0.0
16,0.9,16.674213409423828,617.8614753817665,381752.8027609332,47.25,346826.18656324653,2.840543508529663,0.00142796547152102,159.30889892578125,0.02652289718389511,1.109149819671605,0.013919661122448896
16,1.2,16.578100204467773,460.5572820751504,212113.01007244963,35.34375,258522.35317931778,2.840543508529663,0.00142796547152102,159.30889892578125,0.03536386042833328,0.8252568972250803,0.01405970422252175
16,1.3,16.564857482910156,416.0834367862182,173125.42636783083,32.78125,233535.51535381883,2.840543508529663,0.00142796547152102,159.30889892578125,0.038310855627059937,0.7553912042256966,0.02699637597183511
17,1.0,15.285737991333008,451.7148968223784,204046.34801125198,46.9375,204046.34801125198,1.99772047996521,0.0030306943226605654,39.91569137573242,0.028196338564157486,1.0,0.0
