layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual,gradient_variance_trace,normalized_noise_scale
model.dec.16x16_up.conv0,1.3,0.0700901783783195,0.7491843333790048,0.9977784951030165,0.06661887652880233,0.13488250530025664,27.456254602058962
model.dec.16x16_up.conv1,0.9,0.0714267198140097,1.1185400868058784,0.9988662337008327,0.047605117081185915,0.1321731156418643,25.907273816388876
model.dec.16x16_up.conv1,1.0,0.06378469528969731,1.0,1.0,0.0,0.10662628890094994,26.207845728486056
model.dec.16x16_up.conv1,1.2,0.05231276044682202,0.8188431804776537,0.9984115216001127,0.05634211156983612,0.0737013460831969,26.93147531226531
model.dec.16x16_up.conv1,1.3,0.047928638500588,0.7498308537574488,0.9978946621891982,0.0648555562331113,0.06246880420737902,27.19399467426518
model.dec.16x16_up.norm0,0.9,0.27920179263220535,1.1223875852474448,0.9994600728627298,0.03285670027904381,0.7458721849280553,9.56815070179452
model.dec.16x16_up.norm0,1.0,0.2486227107956369,1.0,1.0,0.0,0.603476285424951,9.762894892957824
model.dec.16x16_up.norm0,1.2,0.20278982193313652,0.814752727942299,0.9988964432147098,0.04696696427279652,0.41628538092753775,10.122757939399456
model.dec.16x16_up.norm0,1.3,0.1859780241370165,0.7467705389271697,0.9983121209719186,0.05807675198002909,0.3527375653040004,10.198315753977294
model.dec.16x16_up.norm1,0.9,0.36814056682161017,1.1248192549700242,0.999594333573252,0.028481016278325427,0.6551798677152111,4.834295469150828
model.dec.16x16_up.norm1,1.0,0.32715587231224397,1.0,1.0,0.0,0.5309960443001608,4.96114414506131
model.dec.16x16_up.norm1,1.2,0.264855952786882,0.8086561783450366,0.9988698182669622,0.04752984489061501,0.36596626436718316,5.217008882580589
model.dec.16x16_up.norm1,1.3,0.2414787401170527,0.7368051357413027,0.9982250478478655,0.059554629115852416,0.3106608532024705,5.327564643288745
model.dec.16x16_up.skip,0.9,1.1157223797686155,1.1159104307957646,0.9986210997559144,0.052496658201150154,39.212021393645514,31.499738029095187
model.dec.16x16_up.skip,1.0,0.9984528140957399,1.0,1.0,0.0,31.652270610757153,31.750442280550352
model.dec.16x16_up.skip,1.2,0.8218300012259317,0.8216315776812062,0.9982117465436688,0.059777161711127076,21.84929333046772,32.34993501430668
model.dec.16x16_up.skip,1.3,0.7537620455039666,0.753198810169642,0.9977067379196987,0.06768504347072289,18.54601928413414,32.64240704990372
model.dec.32x32_aux_conv,0.9,117.29447619536353,1.111740084126115,0.9999978085129931,0.002093554205443236,1006.275464698685,0.07314114645086502
model.dec.32x32_aux_conv,1.0,105.50507337175154,1.0,1.0,0.0,806.9472307165743,0.07249339646595997
model.dec.32x32_aux_conv,1.2,87.8751838358708,0.8328987936380687,0.9999984580192371,0.0017561204822668468,562.5977285964882,0.0728560264571371
model.dec.32x32_aux_conv,1.3,81.19880535320593,0.7696175363806956,0.9999969124031703,0.002484991775829673,477.02174914888565,0.07235006092831774
model.dec.32x32_aux_norm,0.9,184.34024846119365,1.109600554254741,0.999997972370284,0.0020137664515344337,817.7704153684172,0.024065287694313715
model.dec.32x32_aux_norm,1.0,166.13174351849455,1.0,1.0,0.0,652.1960965305334,0.02363050208480891
model.dec.32x32_aux_norm,1.2,138.47717019373033,0.8335371134819725,0.9999985828451237,0.0016835402413123226,455.89579340385535,0.023774381356975426
model.dec.32x32_aux_norm,1.3,128.02950105180705,0.7706479498044156,0.9999967701831,0.00254157891239758,384.8138800786619,0.023476352533646935
model.dec.32x32_block0.affine,0.9,1.195767376474741,1.1168208757606268,0.9997769190267682,0.021121367885221117,0.18355240848227417,0.1283709296278286
model.dec.32x32_block0.affine,1.0,1.0704497466618588,1.0,1.0,0.0,0.1487050538439183,0.12977563456623176
model.dec.32x32_block0.affine,1.2,0.8772317996837181,0.818989965062106,0.9993796405185283,0.0352183775471969,0.10380152897895256,0.13488852871983237
model.dec.32x32_block0.affine,1.3,0.8031495393158465,0.7494683910066163,0.998902707417981,0.04683354687643623,0.0883461216856325,0.13696028780749053
model.dec.32x32_block0.conv0,0.9,0.6769371320169288,1.121417574440204,0.999734130522857,0.023057932858496725,0.2492905180711369,0.544012759512533
model.dec.32x32_block0.conv0,1.0,0.6034836358199652,1.0,1.0,0.0,0.2020037527470982,0.5546620357826721
model.dec.32x32_block0.conv0,1.2,0.49177331306564454,0.8143287693320308,0.9993101972243307,0.037136635866341784,0.13991255044214013,0.5785311646590408
model.dec.32x32_block0.conv0,1.3,0.44962575372114494,0.7440947399111587,0.9987172561173949,0.050634398716104534,0.11900731801068498,0.5886691955151733
model.dec.32x32_block0.conv1,0.9,0.3194076523536967,1.118516972239242,0.9997086140424176,0.024138910691839897,0.043102565146598534,0.42248615685593827
model.dec.32x32_block0.conv1,1.0,0.2854803184700872,1.0,1.0,0.0,0.03499253829677196,0.4293615019086954
model.dec.32x32_block0.conv1,1.2,0.23359552971482275,0.8175620649187972,0.9991538748494729,0.04112826732654642,0.024271413546893217,0.4448012663813908
model.dec.32x32_block0.conv1,1.3,0.21394911311064935,0.7482024928489455,0.9983546219617317,0.05734151033629647,0.020664033061777463,0.45143383561969425
model.dec.32x32_block0.norm0,0.9,3.940360674987578,1.129362136933252,0.9997802912331168,0.02096113694016713,1.7976390005465248,0.11577919601405329
model.dec.32x32_block0.norm0,1.0,3.488247758951949,1.0,1.0,0.0,1.4723329368410347,0.12100167433323507
model.dec.32x32_block0.norm0,1.2,2.808681249136975,0.8047529245007771,0.9994646371005701,0.032717566923996404,1.0235509282758297,0.12974915754871502
model.dec.32x32_block0.norm0,1.3,2.5570177210497333,0.7323607017414986,0.9990762111517535,0.04297353034900283,0.8690966649934957,0.1329231448254967
model.dec.32x32_block0.norm1,0.9,2.2744566365554784,1.122083293645076,0.9997424733988688,0.022693322416783582,0.4489432359107024,0.08678328992824613
model.dec.32x32_block0.norm1,1.0,2.026472469866118,1.0,1.0,0.0,0.3656335793105452,0.08903579844989874
model.dec.32x32_block0.norm1,1.2,1.6513270496803445,0.8143359801224871,0.9993353195898446,0.03645434158318061,0.2548750288589652,0.09346760145445115
model.dec.32x32_block0.norm1,1.3,1.5108318837264116,0.7446513873748393,0.9987977831397031,0.04902028554807407,0.21704736297877236,0.09508723765107431
model.dec.32x32_block0.skip,0.9,8.6088207071501,1.1178405410791874,0.9997159269278365,0.023834123579798788,30.371214587507637,0.4098027177790378
model.dec.32x32_block0.skip,1.0,7.699108107758675,1.0,1.0,0.0,24.643958764906913,0.41574749172558123
model.dec.32x32_block0.skip,1.2,6.304756011367217,0.8181952206470073,0.9991462707922812,0.04131258357785426,17.059890175119747,0.4291801845723844
model.dec.32x32_block0.skip,1.3,5.777955572661863,0.7492072391031769,0.9983163519399266,0.058003977875284524,14.518317041572821,0.43487844249926244
model.dec.32x32_block1.affine,0.9,1.6996525772792486,1.1102022862756136,0.999580803423684,0.028951984851856898,0.23817089699300942,0.08244576991562978
