layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block4.proj,0.0029260887483514918,0.0027271942011814804,0.9932874403826755,0.9257708772654859,1.0657279932332884,0.10780964444060091,0.11925273487531267,0.0,65676,65792,0.9982368677042801,1.0,0.9257708772654859,0.10772210362259171,0.2852037421309308,0.9292929292929293,1.56438127090301,65676,0.9257611913215846,0.10779042768485107,0.9292428479727421,0.0033411725533753125,0.003341172552439091,1.2736450540480143e-08,0.0029260960574080883,0.0027271633613023057,0.9257603576211088,1.0657453106939643,0.10778873300660968,0.11923614826650444,0.0
model.dec.16x16_block4.qkv,0.005670812003105807,0.005414205301187526,0.9943824102362543,0.9493861750239909,1.0415112456870101,0.10105753432266928,0.10605203658603242,0.0,197154,197376,0.9988752431906615,1.0,0.9493861750239909,0.10102315272225519,0.3333333333333333,0.95,1.5547164863074185,197154,0.9493908766335214,0.1010582613745325,0.9500072715698678,0.0023146870437206393,0.0023146870367354447,1.7615418751101053e-08,0.005670804376632739,0.005414219859182282,0.9493912624236109,1.0415084244232031,0.10104612446700748,0.10603946442435369,0.0
model.dec.16x16_block4.skip,0.004497947240630094,0.004251838559678499,0.9942425864288605,0.9398418301724061,1.0517922153852366,0.1012896605991806,0.10837656171038104,0.0,131294,131328,0.9997411062378168,1.0,0.9398418301724061,0.1012814000166102,0.3096182194493664,0.9410146721484602,1.5633948232165853,131294,0.9398435687294854,0.1012863808005956,0.9410567124095122,0.0010094579248952804,0.0010094579247990072,2.6691216378601006e-09,0.004497940235281335,0.004251839745749099,0.9398437932466687,1.051790549247796,0.1012876462467485,0.10837390244855441,0.0
model.dec.16x16_up.affine,0.006491544349770722,0.0061941304633558675,0.9953196971021602,0.9497185452975262,1.043110408178018,0.09220947408133492,0.09697672672795345,0.0,131246,131328,0.9993756091617934,1.0,0.9497185452975262,0.09219928395816304,0.4166666666666667,0.9497907949790795,1.5442969625721081,131246,0.9497199313821909,0.09222012548446475,0.9497430946061494,0.0013746976613872026,0.0013746976549613786,6.243219538809905e-09,0.006491540188313837,0.0061941321889856715,0.9497198593857216,1.0431099328963205,0.09220501995427703,0.09697187809179574,0.0
model.dec.16x16_up.conv0,0.012576877671526591,0.011900568473587584,0.993483624156382,0.9400600216878702,1.0499432894664869,0.10784605654286214,0.11489468154402327,0.0,589493,590080,0.9990052196312365,1.0,0.9400600216878702,0.10779380042620898,0.29508196721311475,0.945054945054945,1.5813502270188036,589493,0.9400601531462491,0.10783460271280015,0.9450535036265433,0.0023025782475623556,0.0023025782277751464,1.4052817771166346e-07,0.012576875196702166,0.011900555398876168,0.940060193702314,1.0499453754513652,0.10783706926123396,0.11488550261426307,0.0
model.dec.16x16_up.conv1,0.01250859019787152,0.011872199858482289,0.9939229709327325,0.9433558832919314,1.0472006266611034,0.1044774777692984,0.11072455894770895,0.0,589514,590080,0.9990408080260303,1.0,0.9433558832919313,0.10442742195382304,0.3,0.9455782312925171,1.5714285714285714,589514,0.9433577518310842,0.10446128468484472,0.945558098295747,0.002316581826920476,0.0023165818177038303,1.289945820355083e-07,0.012508563582043306,0.011872188050093433,0.9433577918855648,1.0472003720160195,0.10447001489938278,0.11071650203472871,0.0
model.dec.16x16_up.norm0,0.00038299297602549103,0.00036364503742041465,0.9949122899588247,0.944651572116631,1.0478471575431847,0.09565549753876221,0.10152584416546857,0.0,512,512,1.0,1.0,0.944651572116631,0.09565549753876221,0.3,0.945389446101021,1.5817677070828329,512,0.9447794082738897,0.09574125480030439,0.9462244700998661,0.0030375093133130616,0.0030375093120481663,0.0,0.00038298466970474446,0.00036368343218481697,0.9447738940467508,1.04771613163894,0.0956470044226045,0.10148900860891759,0.0
model.dec.16x16_up.norm1,0.0003608656703016322,0.0003437083422814403,0.9950826552537198,0.9477715338906902,1.0447554662482568,0.09433878513709062,0.09951824743268801,0.0,509,512,0.994140625,1.0,0.9477715338906902,0.09414349020157076,0.3821428571428572,0.948051948051948,1.5272727272727258,509,0.9477101305000597,0.09426744676827276,0.9492539071404276,0.0046443290158761875,0.004644329014550507,3.7792376997764344e-10,0.00036093478178617116,0.0003437386301997004,0.9476905654590707,1.0448822307553989,0.09415801116411467,0.09935115395980956,0.0
model.dec.16x16_up.skip,0.004092000427601766,0.0038831024373045084,0.993624869303219,0.9428999874320635,1.0470785810345278,0.10698168766233201,0.11335613257036617,0.0,65788,65792,0.9999392023346303,0.9999999999999998,0.9428999874320635,0.10697776908438518,0.2719709102556639,0.9442426904029649,1.6098216322823167,65788,0.9428999233924704,0.10698207128556554,0.9442387843317246,0.000505677235747145,0.0005056772355037313,1.1068350177447438e-09,0.00409199930386199,0.003883101046808103,0.9428998506014932,1.0470786038859763,0.10698219103710553,0.11335658335578072,0.0
model.dec.32x32_aux_conv,0.00068342876647968,0.0006613753436610749,0.9967156597986675,0.9645528464177086,1.0299509354800802,0.07836766833167721,0.08110624874521258,0.0,6914,6915,0.9998553868402025,1.0,0.9645528464177086,0.07836456237525932,0.5566044728939467,0.966374776960539,1.3826180920247062,6914,0.9645521398596308,0.0783516146841338,0.9663221138061011,0.0008203330241162217,0.0008203330241101139,1.7926345212947325e-11,0.0006834297653690731,0.0006613755512010805,0.9645523902061497,1.029952812659842,0.0783595668391758,0.08109792953293496,0.0
model.dec.32x32_aux_norm,0.00017571534706541754,0.00016956848284954937,0.9978608100858991,0.9629537003292841,1.0340333039530314,0.0630874138870335,0.06537670530087131,0.0,512,512,1.0,1.0,0.9629537003292841,0.0630874138870335,0.6025655539079171,0.9566802724936057,1.2211466165413531,512,0.9629528826277461,0.06265165277437612,0.9558341014338922,0.007533342204773845,0.007533342196904061,0.0,0.00017571239368942748,0.0001695604558891931,0.9629535568879748,1.034096291616436,0.062637333303865,0.06491182159262794,0.0
model.dec.32x32_block0.affine,0.005185555845948555,0.004861725002457913,0.994275257565376,0.9321841327400924,1.060502161628541,0.10017644152264514,0.10957185428565273,0.0,131239,131328,0.9993223075048733,1.0000000000000002,0.9321841327400924,0.10014318442240404,0.3778429243575824,0.932934131736527,1.5,131239,0.9321865305939645,0.10017428520964294,0.9329484028163199,0.001595218002483094,0.0015952180195893775,1.4123752058769306e-08,0.005185556307134874,0.004861736146597824,0.9321861755805296,1.0604998125060074,0.10017676482673571,0.10957129978275999,0.0
model.dec.32x32_block0.conv0,0.013858815472374289,0.01319039787032007,0.9947280963367039,0.946751862713079,1.0451355044669335,0.09760169695253931,0.10303576313901087,0.0,1178433,1179904,0.9987532884031243,1.0,0.9467518627130788,0.09755055829509213,0.35,0.946987951807229,1.5486725663716814,1178433,0.9467521368310547,0.09758045858299695,0.9469406673864862,0.002385974020972951,0.002385974014297529,1.5112165275142538e-07,0.013858799145328855,0.013190372453091745,0.9467525122304215,1.0451377867866896,0.09758844535420934,0.10302211041658861,0.0
model.dec.32x32_block0.conv1,0.009590034711160196,0.0091432851392718,0.9949855415371438,0.9486343678339274,1.0436014774886133,0.09535950323490994,0.10038555172275875,0.0,588903,590080,0.9980053552060738,1.0000000000000002,0.9486343678339273,0.09527514948616754,0.36363636363636365,0.9495176848874598,1.5294117647058822,588903,0.94864383559158,0.09534018900049539,0.9494317872463777,0.003378010901534431,0.0033780108765518817,1.1659989703674417e-07,0.009589976498083297,0.009143298502708171,0.9486441746063531,1.043596545699888,0.09533373741933698,0.10035740677302218,0.0
model.dec.32x32_block0.norm0,0.0004640687417871024,0.0004285181061580991,0.9967402616547063,0.92038357854266,1.0794316330334701,0.07449704018725291,0.09067416925426,0.0,1024,1024,1.0,1.0,0.92038357854266,0.07449704018725291,0.47125,0.9220166729112027,1.378835811452072,1024,0.92034559385597,0.07466838686768719,0.9216204955735712,0.0028300979723614697,0.002830097971718561,0.0,0.00046405715277048743,0.000428486389963167,0.9203375755431087,1.0794835584554132,0.07450407649527964,0.09070505903807452,0.0
model.dec.32x32_block0.norm1,0.00027757983543403946,0.0002589381961659629,0.9948970323080772,0.928081978699566,1.0665222767091775,0.09411955297308697,0.1051954659718059,0.0,508,512,0.9921875,1.0,0.928081978699566,0.09364708647977732,0.42084057971014494,0.930845708532595,1.625,508,0.928222858346484,0.09420699768853619,0.9310407669161453,0.00632937119974673,0.006329371202556577,5.38910752964229e-10,0.00027760709657081984,0.00025900658594860186,0.9282447620113756,1.0663555176064,0.09404811609633873,0.10506317858413315,0.0
model.dec.32x32_block0.skip,0.003808200191353411,0.0036453486050584613,0.9956149934553017,0.9530391117063938,1.0400929017678955,0.08954530041409325,0.09369273794691367,0.0,131268,131328,0.9995431286549707,0.9999999999999998,0.953039111706394,0.08952809901708061,0.4131823804114604,0.9555489536845001,1.5,131268,0.9530390881458307,0.08954957745387158,0.9555283482903634,0.0012169534931893238,0.0012169534926843922,3.52197210674265e-09,0.003808201829021121,0.0036453493214497696,0.9530391497002457,1.040093428987135,0.08954250647851408,0.09368982599091634,0.0
model.dec.32x32_block1.affine,0.005172366626281228,0.004953140326946386,0.9960450815722587,0.953828569677248,1.0401300989128386,0.08508348483526404,0.08900638714826507,0.0,131255,131328,0.9994441398635477,1.0,0.953828569677248,0.08506422981290054,0.5185185185185185,0.9503463984056183,1.5154615388976118,131255,0.9538283816695291,0.08508737133515352,0.9503707474247508,0.0014855173901211127,0.0014855173694891478,6.9103544280165494e-09,0.005172373907297791,0.004953144849043856,0.9538283758524466,1.0401309166551787,0.0850803257894804,0.08900313363499218,0.0
