arm,batch_id,direction_id,regime,status,finest_relative_change,finest_cosine,finest_norm_ratio,selected_jvp_l2,finite,source_preserved,amp_branch_pairing,amp_sweep_pairing,discrete_state_pairing,receipt
A,2026082602,2026082614,D_production_algorithmic,FAIL_CLOSED,1.3320382921561162,0.2918418898179923,1.2189328780293531,6516.483546574632,True,True,True,True,True,formal/shard0/armA_batch2026082602_dir2026082614_D_production_algorithmic.json
A,2026082602,2026082614,E_full_field_pseudohuber_fp32,PASS,0.014944536942064185,0.9998890643032347,0.9986724716802972,11260.239306723744,True,True,,,,formal/shard1/armA_batch2026082602_dir2026082614_E_full_field_pseudohuber_fp32.json
B,2026082601,2026082611,A_squared_gn_fp32,PASS,0.02213228249875256,0.9999032598054971,1.0171185698016332,15.623200358624365,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082611_A_squared_gn_fp32.json
B,2026082601,2026082611,B_real_loss_gn_fp32,PASS,0.019206005893138353,0.9998193891144137,0.9970478351300325,88.4409659673558,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082611_B_real_loss_gn_fp32.json
B,2026082601,2026082611,C_full_field_fp32,PASS,0.004136818571687156,0.999991450417614,0.9998723864885388,17984.30838016643,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082611_C_full_field_fp32.json
B,2026082601,2026082611,D_production_algorithmic,FAIL_CLOSED,0.6384117395387987,0.8186272500752485,1.0974105418032865,5013.395746451155,True,True,True,True,True,formal/shard1/armB_batch2026082601_dir2026082611_D_production_algorithmic.json
B,2026082601,2026082611,E_full_field_pseudohuber_fp32,PASS,0.005437215962891024,0.9999852182331236,0.9999837437788128,11403.886935449309,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082611_E_full_field_pseudohuber_fp32.json
B,2026082601,2026082612,A_squared_gn_fp32,PASS,0.02228158566412457,0.9998724945225993,1.015411939897234,29.58708414424506,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082612_A_squared_gn_fp32.json
B,2026082601,2026082612,B_real_loss_gn_fp32,PASS,0.02305322874438853,0.9998242224197504,1.013237912918646,175.68473900490315,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082612_B_real_loss_gn_fp32.json
B,2026082601,2026082612,C_full_field_fp32,PASS,0.005172148298477744,0.9999902970613112,1.0027005248730672,24088.081912630372,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082612_C_full_field_fp32.json
B,2026082601,2026082612,D_production_algorithmic,FAIL_CLOSED,1.1334641699601555,0.5150492606409056,1.256680412542043,6078.726631920513,True,True,True,True,True,formal/shard0/armB_batch2026082601_dir2026082612_D_production_algorithmic.json
B,2026082601,2026082612,E_full_field_pseudohuber_fp32,PASS,0.005847033680959658,0.9999888577159187,1.0034389821851104,17624.496333561226,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082612_E_full_field_pseudohuber_fp32.json
B,2026082601,2026082613,A_squared_gn_fp32,PASS,0.012625923217622022,0.9999331697827849,1.0050084007082363,25.81495649599567,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082613_A_squared_gn_fp32.json
B,2026082601,2026082613,B_real_loss_gn_fp32,PASS,0.032301828136062014,0.999659375199188,1.0186928857677933,119.00619278562345,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082613_B_real_loss_gn_fp32.json
B,2026082601,2026082613,C_full_field_fp32,PASS,0.006749463139036467,0.9999782960360678,1.0014438320690828,16456.44729933873,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082613_C_full_field_fp32.json
B,2026082601,2026082613,D_production_algorithmic,FAIL_CLOSED,0.7032391881400679,0.7933255315130852,1.1453351261073519,5246.631977062466,True,True,True,True,True,formal/shard1/armB_batch2026082601_dir2026082613_D_production_algorithmic.json
B,2026082601,2026082613,E_full_field_pseudohuber_fp32,PASS,0.007931607022416246,0.9999696608442399,1.0014639830662473,10762.03674553474,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082613_E_full_field_pseudohuber_fp32.json
B,2026082601,2026082614,A_squared_gn_fp32,PASS,0.016844804802976482,0.9998644878590865,0.9962949597998311,16.922514562234046,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082614_A_squared_gn_fp32.json
B,2026082601,2026082614,B_real_loss_gn_fp32,PASS,0.01767290065835905,0.9998469798509748,0.9973341060387839,92.41026254137198,True,True,,,,formal/shard0/armB_batch2026082601_dir2026082614_B_real_loss_gn_fp32.json
B,2026082601,2026082614,C_full_field_fp32,PASS,0.0050195828976255545,0.999987440045327,0.9997109244509547,14486.82419181161,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082614_C_full_field_fp32.json
