checkpoint_id,identity,cohort,nfe,metric,scale,anchor_B0,B1,B2,B3,B4,B5,n_valid,mean,sd,two_sd,status
NF-05,q256 seed5 A@512,q256_target_weight,2,fid,log,1.5381212130774564,1.5446376409261187,1.540758462709444,1.5302298094111744,1.5308979849188624,1.5405044410759547,5,1.5374056678083108,0.006461190774837818,0.012922381549675637,COMPLETE
NF-05,q256 seed5 A@512,q256_target_weight,2,kid,raw,0.0019519279879879649,0.0019005889889889978,0.0018943131806806515,0.0018718513363363536,0.0019325038663663462,0.0018817589014013855,5,0.001896203254754747,2.3141935542473918e-05,4.6283871084947836e-05,COMPLETE
NF-06,q256 seed5 B@512,q256_target_weight,1,fid,log,3.232066394708278,3.22005806022342,3.2122450630467623,3.215734722974557,3.222940156501331,3.2247974706534484,5,3.2191550946799037,0.0051581471035001755,0.010316294207000351,COMPLETE
NF-06,q256 seed5 B@512,q256_target_weight,1,kid,raw,0.020122994334334357,0.019880059236736705,0.019834200005005014,0.020080922362362377,0.020142990553053075,0.02019043330580581,5,0.020025721092592597,0.00015955181208983146,0.0003191036241796629,COMPLETE
NF-06,q256 seed5 B@512,q256_target_weight,2,fid,log,1.8600751293296895,1.8535305277731635,1.852522201481656,1.8385159625668155,1.8353536876021292,1.8532707757346683,5,1.8466386310316865,0.00893626986631926,0.01787253973263852,COMPLETE
NF-06,q256 seed5 B@512,q256_target_weight,2,kid,raw,0.00472042614114112,0.004680932872872846,0.004606303948948935,0.0046875637712712704,0.00471661204204202,0.0046353689989990015,5,0.004665356326826815,4.4015255539939216e-05,8.803051107987843e-05,COMPLETE
NF-07,q256 target-weight seed3 B@256,q256_target_weight,1,fid,log,5.738208257933751,5.737549906780378,5.738256700150659,5.737860982757708,5.7389823305954,5.738129048193532,5,5.738155793695535,0.0005357408712293216,0.0010714817424586432,COMPLETE
NF-07,q256 target-weight seed3 B@256,q256_target_weight,1,kid,raw,0.3136369202802803,0.31323481263763764,0.31337475487237243,0.31352628258258247,0.3135923747222223,0.31361922107357354,5,0.3134694891776777,0.0001618592410044194,0.0003237184820088388,COMPLETE
NF-07,q256 target-weight seed3 B@256,q256_target_weight,2,fid,log,4.610131692275965,4.608036210389843,4.608676698368108,4.612459530168554,4.613192506504049,4.613808026221404,5,4.611234594330392,0.0026799688043929915,0.005359937608785983,COMPLETE
NF-07,q256 target-weight seed3 B@256,q256_target_weight,2,kid,raw,0.0882065039039039,0.08762490840840842,0.08779321286536536,0.08847991644894893,0.0884397813013013,0.08869800653903906,5,0.08820716511261262,0.000468990463975928,0.000937980927951856,COMPLETE
NF-08,q256 target-weight seed3 D@1024,q256_target_weight,1,fid,log,2.17579654227682,2.167902280752085,2.1512312565122826,2.1507998337904732,2.1693467867758707,2.1724746573938574,5,2.1623509630449136,0.010480032510159921,0.020960065020319843,COMPLETE
NF-08,q256 target-weight seed3 D@1024,q256_target_weight,1,kid,raw,0.005311956116116112,0.005297472089589573,0.005134755187687701,0.005222284161661678,0.0052751182357357535,0.005297580155155157,5,0.005245441965965972,6.909061497316837e-05,0.00013818122994633674,COMPLETE
NF-08,q256 target-weight seed3 D@1024,q256_target_weight,2,fid,log,1.0477728824017631,1.0579030114991597,1.0478746712616527,1.0475999393305033,1.0497732742080013,1.059021405466975,5,1.0524344603532585,0.005579853926079743,0.011159707852159487,COMPLETE
NF-08,q256 target-weight seed3 D@1024,q256_target_weight,2,kid,raw,0.0009555485885885855,0.0009490895870870964,0.0009243294619619519,0.0009465905655655934,0.0010128065340340663,0.0009445775200200159,5,0.0009554787337337447,3.3523913136284784e-05,6.704782627256957e-05,COMPLETE
NF-09,q128 seed3 Bsame@1024,q128_matched_spacing,1,fid,log,2.1702273230619165,2.1503036503451374,2.142162465390819,2.1406213825232148,2.1529585039103147,2.1607789901722216,5,2.1493649984683416,0.008252285408482713,0.016504570816965426,COMPLETE
