seed,cell,budget_kimg,nfe,kid50k_full,fid50k_full,opaque_id,checkpoint_sha256,receipt_sha256,wave,worker
55,AA,1024,1,0.006844511721283197,10.736453780268329,db2709282dc0d96a7141e710,3a9120c5160184f0fd0b591e9be8f2dabf32df76278c72ecd04e26599efc3e32,4f3a3e8eca8de5b5b9250baab7769c60692e3e4d067f6f6acf3b3cb6ad91fe65,firstwave,node8
55,BA,1024,1,0.006427324377000332,10.090459005260554,7ac5ce768678a70eb9d49660,f77465a96b482cb168ae61170910b1c23297b5e204afb201ad9d762777e087a5,2762b3dde15ee6c601e8fe3634f76143c78f1ab3e34297707a2ada7ecac2c18e,firstwave,node8
56,AA,1024,1,0.006928779184818268,10.98816185164702,9fd2bfa8259381f19e0ad6c7,8a44c00d2e05af51ba3f945b65116836d4e26d74c7f5159cad66416855c6be5d,6bb8418223d60be4155269d04f381eef99634d56bb043f927562acf63842ac3b,firstwave,node8
56,BA,1024,1,0.005443742964416742,8.839140016503805,97ab919728ff046877a010c5,66c45a58976a9b78ef357f3a33449527f15817999765a447b27547e343cc4316,0f01e605e354de125a0a7580cc2f1b5a3658b343688e92a8b6ba5e66d04ed183,firstwave,node8
57,AA,1024,1,0.006621100939810276,10.604410488369291,00c7982b873ba5ae8cc39cd5,218fd0a743f837c1afc2a2362e4e87e9d145e1f18229e02116dfa18b5d87846a,3c2f0bb44cec554ec37c2b93c717f672200ab837500c7cf17234566febc94b65,firstwave,node8
57,BA,1024,1,0.005341670010238886,8.925379988184009,22410ba59c904b1c4b93b539,e4cca0950649c84d09300662b3e3d9a0e430a024babd0def46edd9c5a44a1f91,846d728cd644721d5cba3edc11fdcda80e623f4ec8fe85e15d4087386a94f47d,firstwave,node8
59,AA,1024,1,0.004595371428877115,7.548126818765351,670d87b7cf260617e2f7144c,4811d6915de52b1d187091ee231a555c482094eb2b04e746906f04825e8f67ee,23697105c8091b982eb54f1069e9bb462b1fe9c18e8f318487aa26aacaf6ce5b,secondwave,eval5
59,BA,1024,1,0.004544477444142103,7.609740229394859,b7c09074219b41a9d5339239,bf9293c9a21b428e76efa3daffbec39cbef788c7ca63b93b4d2aa12f90eb0731,6b3e04a681571b82af721671093e2870dd641c36e6bce78ea9942239971138f7,secondwave,eval5
60,AA,1024,1,0.006457204930484295,10.23868712741847,1fa6a1ee3a6baa475794cc5e,df9f4f9921a7a238f18fbe239e61a7ab22b28c958eac7d033196a1c9d15e13bf,c22a05856bbc2cc3afe74ea8217137da6750e6fbc73a8e73c3744830bae4815e,secondwave,eval5
60,BA,1024,1,0.006044440902769566,9.692497835218667,d22ab2b8a816de11b7e13dd1,ad42a3177bc215a71ca7cf1fd038106d81aea55754b3a4e5177a03bb667b9ca0,62622de380c945f0689755987b87952d6dedbae097cba51bc7c45a07594e68e7,secondwave,eval5
61,AA,1024,1,0.005225549452006817,8.371350691889159,563866553549ce50da7e8f65,ba09b418693cf9a73699ab05f0774545184172b415d3bebb10ba2b10ea7e270e,9737cde682a87f6f0b98322e2e257662d7e6a0c7bd1f1c41e4053c27cb2ea1d1,secondwave,single2
61,BA,1024,1,0.005278803873807192,8.029263887691428,11c74fbde583d576c05c1989,f3bba981949458b18b66088bbc790873d4b02a80acd4b297e8e0bacc2569ed36,620034edc638d14c316af502816c8298b3d88780ef7c81d5e2d7bb2215196486,secondwave,eval5
62,AA,1024,1,0.006395656615495682,10.08371074599772,dba9195a8044f42a040db20a,403847c97b1cc71e5aa0e53e9346d98bfd5450d91cb2805509eb5877289d1947,90591b7a501a92805bbad0cb4132330ad0a2d9167b66b644624f57c436ad3396,secondwave,eval5
62,BA,1024,1,0.005878061521798372,9.591641104268772,a5cb3e2b6c24fecea3bdd0f6,45036158b274493163e93d0fa300fb3d67ab87c6b59347ce8eb22e003be28e23,08a3835013074fd501773ba77e199b7ccbe0034f9b394dc889e1acab1d1bfb89,secondwave,single2
63,AA,1024,1,0.006937885656952858,10.93371795745829,856e6f1dc1548caa500503a2,408c68af07d964c833a0afae565c543061eeaca415e427fd6d7c3fde8eee33e9,779afada2d05d0dae1e9b063b9466a216ffe04010307ab06dc32e81e7c9fa1cc,secondwave,single2
63,BA,1024,1,0.006686213426291943,10.938629349192901,8e4cb1892ab6536479ad7ac9,8b1c2d678acf14e914ead77df9e4f5dbb10c797a871b21514bb26846c2917229,8539a0421686c3b09bb1fca8788577c897810b5c0aacbf55d905bea8877b0c1f,secondwave,eval5
64,AA,1024,1,0.007299447897821665,11.405756965264082,b1a6a33662633986e061953e,0139dc14fe7c9bd8bcd84c38800fd8a2db77cc781fb161c7d1782ba9fb074fb4,a1e5e7a9203dbe7fd5b4811b35ad66ef1070a1150350feb427bc1a1c7c64a4a7,secondwave,eval5
64,BA,1024,1,0.006308464333415031,10.023756981364961,0a7f60b632cea50748b122f6,e06224dc6c9abb4958135d48211324c885e08978f992ef6b416dce73ea89e4c2,349df66f46d08078bd05b8a72528d202572360f7d7745135305289216fd2b32e,secondwave,single1
65,BA,1024,1,0.004572307225316763,7.600056766930349,b8a4513e66dc1d957095c922,e3134e92cace056e952a91ada70e0eb5bfc4c3cb2cb7d12797207a9b3f98de36,899a36b6dcd49daa40090c1e33916033dcd622aa7f2bc48ce93bdac9cf404846,secondwave,single1
66,AA,1024,1,0.0055255102925002575,9.0813970921017,43b994e909a872a41dba301a,ff7910a4b95ec47a03b5d112eebbde32fe0883e87b4dd4932b507721c72d530c,6964ce71c76f7f902f95c2dae7460401b2299006bbd6701e44f198bba2b3f18c,firstwave,node7
66,BA,1024,1,0.004656125325709581,7.921486536062167,c1a79d7512201b7fba444646,9567d09484e0e470523608407372580207a2a3cc4bfcda1335ad3e55778292ca,0a2889dcfac5ab137ddbefef6c559e556fc5c280c528f535319433d817e226a7,firstwave,node7
