seed,trajectory,kimg,role,opaque_id,status,root_cause,fid50k_full,kid50k_full
88,CTRL,640,primary,671cc5f0ab8c6ddf8dc705f5,PASS,,11.860691802662139,0.007625065743923187
88,CTRL,768,primary,cc50a15c2836476a859fcf51,PASS,,9.963222483695317,0.006280417554080486
88,CTRL,896,primary,f7ea990627c519bf706577c2,PASS,,9.168484035447278,0.0056835669092834
88,CTRL,1024,primary,1237c2b8ae9e0167725f3f94,PASS,,8.34188227030163,0.005116525571793318
89,BA128,640,primary,d3e400072a51f52be84963b1,PASS,,16.551012325170127,0.011852409690618515
89,BA128,1024,secondary,34f89dca7d2e3265ea2a1695,PASS,,8.481113337666933,0.005332844331860542
89,BA256,768,primary,185af8889ccc0a0452848f91,PASS,,10.55292386170944,0.006599299609661102
89,BA256,1024,secondary,b36d94b2b7cd7bab75c40039,PASS,,8.414644529822779,0.005221240222454071
89,BA384,896,primary,124d1769c19261e7b5e7647f,PASS,,8.922556880463048,0.0055894190445542336
89,BA384,1024,secondary,1b8a2c5a5f0806c63126b486,PASS,,8.468711791074076,0.00530098145827651
89,BA512,1024,primary,2a6ced9113cf55c9db0321b1,PASS,,8.423314373074906,0.005305903498083353
89,CTRL,640,primary,f3ad80672bad2ed5a2ad3b10,PASS,,15.17356528013669,0.010081330314278603
89,CTRL,768,primary,e8e90242adc0fd727f14472d,PASS,,12.324377170647233,0.007947588339447975
89,CTRL,896,primary,1278030a08007fd6d65ef1bd,PASS,,10.583460536546124,0.0067668212577700615
89,CTRL,1024,primary,f8f1ae040bccfd3913888043,PASS,,9.266886089580549,0.005772243719547987
90,BA128,640,primary,b9c3e622e526c46da45b33a5,PASS,,11.376628820377274,0.007123014889657497
90,BA128,1024,secondary,8c32ee36e5853b2d1520b7ed,PASS,,8.84120751117029,0.005356962792575359
90,BA256,768,primary,85f10554714f353c0c245541,PASS,,10.138854724096054,0.00626311544328928
90,BA256,1024,secondary,7593ac8c3dc3dccd4571cb27,PASS,,8.69186358611374,0.005206252448260784
90,BA384,896,primary,88e1ab1e644ee2c3710d2e06,PASS,,9.261961140220532,0.005532573442906141
90,BA384,1024,secondary,72c56e4b5c08af61792064a4,PASS,,8.565329493483178,0.005020869430154562
90,BA512,1024,primary,e401d5864f3027a99dc62747,PASS,,8.917377188510802,0.005345468409359455
90,CTRL,640,primary,bd6173f7432975aa5f5476bf,PASS,,18.838954852315617,0.013064212165772915
90,CTRL,768,primary,2337297cae0a4bf02f3dc05b,PASS,,14.51609735943509,0.009474052116274834
90,CTRL,896,primary,eb6277c2515eaf6e29581f1a,PASS,,12.041961293435376,0.0076539525762200356
90,CTRL,1024,primary,214a3077fb10652317fffa27,PASS,,11.212930406929503,0.0070800562389194965
