amp_skips,arm,attempted_iteration,budget_kimg,cur_nimg,dataset_sha256,denominator_gap_scale,ema_model_canonical_sha256,ema_snapshot_path,ema_snapshot_sha256,git_commit,online_model_canonical_sha256,optimizer_canonical_sha256,replay_elapsed_seconds,replay_state_path,replay_state_sha256,resume_history,runtime_identity,seed,source_256_state_path,source_256_state_sha256,status,successful_optimizer_steps,target_gap_scale
11,B,5000,640,640000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,187c5694ed379cb6184234a5674f43d0794598e09a4a8fe7a4caea87e2f0d6ec,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg000640.pkl,dfcc6e4a014f53a73ad58214738b3da1d71b1c47a4d7f97a338d3fc7f2f9624f,c8721a05227f3ff171f8dc1f559a64d58281c0ae,94bdd78ac332a909423f7ef45d207dc3ba4304b7add02cabaf38ac49ec0253f4,ca895acb860c0e06d55d15b209c952df94d6596be82d97d3d7cb86c6c8db398f,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/training-state-kimg000640.pt,a6508765dc7211056cb15bfca31e882cc8ac6ccd62ce38ca202b91955b5e90cc,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,4989,1.1
11,B,6000,768,768000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,dc1244968a82e45e33b3d1698e2806d01431e510e314972f76619f3d1775b6b5,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg000768.pkl,ca670d64a922549245a38bc5f39b5770e24dbe458fb4064f5cd1f3453b6fd01c,c8721a05227f3ff171f8dc1f559a64d58281c0ae,67207ed569aa432b496d3e2838dc95ace85325ee835ec5b0a91853aad579610d,a33e255ef437a72a7e29600ec2cdb1b3b05be38d9c055910a3ac81e54fba4f08,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/training-state-kimg000768.pt,c46ce61eb54f01bf4a99f1957288ce83b136d8a1ccedc9d8d469a7b2e64dfda3,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,5989,1.1
12,B,7000,896,896000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,c6ec2d03f6bd1aeb5b25732f0981bb25512989605a057c77a0422c117114ab5c,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg000896.pkl,7cd3feff600f37a2c7df4ee79370d20e402eb4df264ed6819d7b70e23492b3a9,c8721a05227f3ff171f8dc1f559a64d58281c0ae,147b83482557cf32053ad00e0006712138bfd86746af8668e9da15d9cae2c2da,ef67adc543ac56e38a924f2c33dac0a0e5c0e42b0d27608202723b9d41b84f4a,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/training-state-kimg000896.pt,b6de765fd088a900caa0ff40963a5f8a8e10d0ddc496f0204b683fd1dfe598db,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,6988,1.1
12,B,8000,1024,1024000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.1,9dce575573faf3f4ba699883c42b8fd5c4c093d2751ed253c2298b62b0a00196,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/network-snapshot-kimg001024.pkl,9ff85962497039bc650d9252fb08c2f004f0887cc873de8f13e6652d4aafdfb1,c8721a05227f3ff171f8dc1f559a64d58281c0ae,07522437fc91999ab1b3005812998f37da46671f293c974f5b413dbd5740c442,00e4771283a7d4f722c80b44201ec5b15c7269757f70e7807d269eb35f1c1485,8512.731273889542,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armB/training-state-kimg001024.pt,f952d6e9b227c25a8ddf37d78dfc008e6524107a60a48a318cdc8334120e32b6,"[""Loading training state from \""/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt\""...""]","host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armB/training-state-latest.pt,b87731facff25a970d73ebc431db98256a77a94f50ee8b8ec026d2dca2ed1131,PASS,7988,1.1
10,C,2000,256,256000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,b1f5447375d14d13b9ff37d2e607ccbfa1d6b368ebed1ea5189ac0470db98eb8,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg000256.pkl,84f6b096eb702cd95027e3225a4ea896c4a5cc32a146419196ed0274b749bfb7,c8721a05227f3ff171f8dc1f559a64d58281c0ae,5ca1034d55d515cab62c7b1f576032fe68f5f53ea4caa32169f9e494506d5cad,2c84d56911e08355c1f8ccbdde04c1c1bc9b1b8163e31fb44feddce9fe8e6642,,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,1990,1.1
10,C,3000,384,384000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,1269d891acd6639d2fa711eced54943acfb9de8d46d34ae4fcc0426ab008f743,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg000384.pkl,f17bd1464bdd94c7f5f69df60a9f7c487038177fc1a03c85b2da36f61aed1bc3,c8721a05227f3ff171f8dc1f559a64d58281c0ae,6ccdba4ca537e8f53d060a461536e2f9189ff9b1a19798f56b69bd6de7911491,b4b4a018052cfcfe2c97b5da8cd215d9b9b16f3e12d35c5b6f947b312a58d46b,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/training-state-kimg000384.pt,245b836ca0660b96cae793fb996aafc626390cfd67577219b4623b733b0b2725,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,2990,1.1
11,C,4000,512,512000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,6c1375b1cfd90127e26d47a91cbf7814a56961ffc4eec1eceae48803bea05256,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg000512.pkl,2487efc5b091ed68cb75715273e0109a16dcd4baa6910261cbbf6eae822adac6,c8721a05227f3ff171f8dc1f559a64d58281c0ae,838ffd6a5574c5e58d8a3d7097007ecd2c1c0529cfbef140e0bfdd56624a423b,9d65a832077cd54158ae3600f59287870f542397dfbd3b933832d33b5caa128a,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/training-state-kimg000512.pt,0deb0e1b4b36eefe86ad8bc484978595baa7ed8e96a241082900042f8cf03ead,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,3989,1.1
11,C,5000,640,640000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,828bd3b039d696141b9a4e958db2ca8abdb484e324994c1750ac33a156524d05,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg000640.pkl,aa1af973080d18839c8b69cc2272e4dc2e5eb231343db6826a85a2b0590a1bd7,c8721a05227f3ff171f8dc1f559a64d58281c0ae,25c189968052be0f4bcb6ac022cef8b7a44b79039166bbccc440d363cd0636ff,f050ed5d9caf55494f6ec2a60ee371a1308e98947a3f245f7844c0d5ed1ca304,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/training-state-kimg000640.pt,75ce791560320f2f1188ef68d6783f116cc75e9c0258c6b386cdce51c78e2fd8,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,4989,1.1
12,C,6000,768,768000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,e3c5a3cc982b07991c38da859ccecc6c3ec927c3a32eab70e6dab6cb072e902a,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg000768.pkl,18bbb907c556012eba2bc81a9d6f3969d1eb02166d759bff4e9d009d4e7641b6,c8721a05227f3ff171f8dc1f559a64d58281c0ae,de6482d677ae5e483fc6f6a273fbef747a4bcffc9155e6098009164af1c35732,51e6a0ce6d91a0fcae1b201727f8c14b7af543050325ce8f799d4178797e4b87,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/training-state-kimg000768.pt,5e4170b45ca2d1c84d5339cb35407c2e8fb34df202fc01bef807a2cc6fd6dfc4,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,5988,1.1
12,C,7000,896,896000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,871804ae9fed88618276905529fe3c69903224fc1f72c2d456b062ea41fd7b13,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg000896.pkl,d9e66b6d9ff46d0d8431c0656674135182e2ad332ab34aa6917465ebcb38caf7,c8721a05227f3ff171f8dc1f559a64d58281c0ae,096041a61716045dfc4adb3ed9078184cf9029d22dbbfedf182fc5c00f5e6359,82d9ac33a93d5afa77967197236bad3097edd3e4100775b56911c8d9a85da2e6,,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/training-state-kimg000896.pt,8b2bfb001684a8d99eb1aaea6b1dce82f6cd8b1770c3abc0c7f74c661a7f4db6,,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,6988,1.1
13,C,8000,1024,1024000,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,1.0,87b938c4443d8c2c15609270888fa690845115424a4e46823dc609ab7e8813bb,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/network-snapshot-kimg001024.pkl,eedbaea3a47e867b476cbe4d700f3b031547eb193e7d41dcde2458cd7b8f1561,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2a495690fbd66caa1049a557bda870e9e2729942ecff7b539cb99e826ef4d30d,60fe746bd740b320dc849b4810d3abd664464440c6ca2342176187761c0d4a08,8282.69602060318,/root/q256_target_weight_replay_curve_v1/runs/q256-target-weight-replay-curve-v1/seed4/armC/training-state-kimg001024.pt,68fa736ab9e47d6f1db5f78d41e0031f32e5589d53038e2e688b18a5b072d737,"[""Loading training state from \""/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/formal/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt\""..."", ""Loading training state from \""/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt\""...""]","host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,/mnt/ect_project/q256_target_weight_1024k/source_states/formal-direct-dcca41b-deterministic-v1/seed4/armC/training-state-latest.pt,5e3551c719a8a7ff6ba7a61e63b8f9da864ac7c057bd4fd9b97e3aad886d10a2,PASS,7987,1.1
