seed,nfe,metric,budget_kimg,S_A,S_B,H_A,H_B,I_switch
5,2,fid50k_full,768,0.043887783436480365,0.01757061055225906,-0.06482529906780288,-0.09114247195202418,-0.026317172884221307
5,2,fid50k_full,896,-0.04594091640496911,0.0756069844262015,-0.1181786373237137,0.003369263507456921,0.12154790083117062
5,2,fid50k_full,1024,-0.09438668773999792,0.011139188662550037,-0.11229067290476191,-0.0067647965022139545,0.10552587640254796
6,1,kid50k_full,512,0.0,0.0,0.004799339369369403,0.004799339369369403,0.0
6,1,kid50k_full,640,0.00013347408658658487,8.566328828821593e-06,-0.001993850610610585,-0.002118758368368348,-0.00012490775775776328
6,1,kid50k_full,768,0.0006904660785785385,2.5325437937931232e-05,-0.001141701726726797,-0.0018068423673674042,-0.0006651406406406064
6,1,kid50k_full,896,0.0005946197472472287,6.588999999997212e-05,-0.00019967253503499777,-0.0007284022822822544,-0.0005287297472472566
6,1,kid50k_full,1024,0.00015160241241243908,-5.260428178179531e-05,-3.312201451448858e-05,-0.00023732870870872298,-0.0002042066941942344
6,1,fid50k_full,512,0.0,0.0,0.8986697884250745,0.8986697884250745,0.0
6,1,fid50k_full,640,0.12142860526946464,0.008153968446713122,-3.037843969421065,-3.1511186062438163,-0.11327463682275152
6,1,fid50k_full,768,0.775418627709783,0.008216262117130668,-1.7941003945901457,-2.561302760182798,-0.7672023655926523
6,1,fid50k_full,896,0.647315243852912,0.11450770038954872,-0.6600427254238994,-1.1928502688872626,-0.5328075434633632
6,1,fid50k_full,1024,0.21464908992938447,-0.04769500637728186,-0.37402726523785645,-0.6363713615445228,-0.26234409630666633
6,2,kid50k_full,512,0.0,0.0,-0.00013937895145141755,-0.00013937895145141755,0.0
6,2,kid50k_full,640,2.504032532533074e-05,-2.6863638638646974e-05,-0.0005974830755755603,-0.0006493870395395381,-5.190396396397793e-05
6,2,kid50k_full,768,0.00012171705705711243,-1.6565030029996788e-05,-0.00024107083333330137,-0.0003793529204204106,-0.00013828208708710921
6,2,kid50k_full,896,0.00015167619619622192,7.305758258230712e-06,3.504321321323462e-05,-0.00010932722472475659,-0.0001443704379379912
6,2,kid50k_full,1024,3.931117867867666e-05,1.9240650650645136e-05,1.4488200700716247e-05,-5.582327327315279e-06,-2.0070528028031526e-05
6,2,fid50k_full,512,0.0,0.0,0.9945397230646664,0.9945397230646664,0.0
6,2,fid50k_full,640,0.03535707566520774,-0.032479830925202346,-0.3853205807757969,-0.453157487366207,-0.06783690659040964
6,2,fid50k_full,768,0.1603624160133883,-0.026847903991125577,-0.2213654524619053,-0.4085757724664192,-0.18721032000451387
6,2,fid50k_full,896,0.1934319025667275,0.008011130292202573,0.07120138792873387,-0.11421938434579104,-0.18542077227452491
6,2,fid50k_full,1024,0.08399431560589576,0.019508828974125425,0.07674196411716849,0.012256477485398154,-0.06448548663177034
7,1,kid50k_full,512,0.0,0.0,0.03190406766766766,0.03190406766766766,0.0
7,1,kid50k_full,640,0.0002535511161160641,0.00015279338338340925,-0.0036790680130130435,-0.0037798257457456984,-0.000100757732732654
7,1,kid50k_full,768,0.0003529400975975285,0.00024379782032033295,-0.0016837459509509928,-0.0017928882282281884,-0.00010914227727719557
7,1,kid50k_full,896,0.00013810094594597123,0.0001885667192192556,-0.0009389934559559604,-0.0008885276826826761,5.046577327328435e-05
7,1,kid50k_full,1024,6.884556056051261e-05,0.0002766159434434805,-0.0007289352652652724,-0.0005211648823823046,0.00020777038288296787
7,1,fid50k_full,512,0.0,0.0,34.672981621755284,34.672981621755284,0.0
7,1,fid50k_full,640,0.33233524492621314,0.10278503615082002,-4.365732812454535,-4.595283021229928,-0.22955020877539312
7,1,fid50k_full,768,0.40649240637734607,0.2500355882785339,-2.0847822972374246,-2.2412391153362368,-0.15645681809881218
7,1,fid50k_full,896,0.1782590594948168,0.2346157104997424,-1.2087859032360075,-1.152429252231082,0.056356651004925595
7,1,fid50k_full,1024,0.1200423598648932,0.33652834778906104,-0.9523169445525834,-0.7358309566284156,0.21648598792416784
7,2,kid50k_full,512,0.0,0.0,-0.00016081505255251087,-0.00016081505255251087,0.0
7,2,kid50k_full,640,7.370496996999014e-05,5.194717217155056e-06,-0.00028506379879874666,-0.00035357405155158174,-6.851025275283508e-05
7,2,kid50k_full,768,7.72640915916009e-05,3.4883816316319104e-05,-0.0002517552227227315,-0.0002941354979980133,-4.23802752752818e-05
7,2,kid50k_full,896,-4.106226226221685e-05,-2.6550245245239232e-05,-0.00020735086086083815,-0.00019283884384386054,1.4512017016977616e-05
7,2,kid50k_full,1024,-4.586719719719e-05,-2.7203053053030993e-05,-6.696602102101686e-05,-4.830187687685785e-05,1.8664144144159116e-05
7,2,fid50k_full,512,0.0,0.0,0.28116647304878484,0.28116647304878484,0.0
7,2,fid50k_full,640,0.12260594093207366,-0.0398026902309887,-0.9309373207821015,-1.0933459519451638,-0.16240863116306237
7,2,fid50k_full,768,0.08254334423489551,-0.0002395821971790113,-0.33372229834471856,-0.4165052247767931,-0.08278292643207452
7,2,fid50k_full,896,-0.03887940164615866,0.0006302438715746206,-0.31223159146158874,-0.27272194594385546,0.03950964551773328
7,2,fid50k_full,1024,-0.06785980854812479,-0.018415300705138637,-0.22446487420448857,-0.17502036636150242,0.04944450784298615
