seed,nfe,metric,budget_kimg,AA,AB,BA,BB
4,2,kid50k_full,896,0.0009653395620620495,0.0009678233908908897,0.0009811117692692824,0.0010118344694694862
4,2,kid50k_full,1024,0.0008854795895895858,0.000879345227727731,0.0008374689064064205,0.0009235460985986174
4,2,fid50k_full,512,5.61748788679813,5.61748788679813,4.897133613712015,4.897133613712015
4,2,fid50k_full,640,3.7702384262945037,3.7243375385181974,3.616130679006778,3.669307508700868
4,2,fid50k_full,768,3.0285518206299162,3.006665758889643,3.0121203784289006,3.0753346404388107
4,2,fid50k_full,896,2.800151963437917,2.8487314457517865,2.816430228556537,2.872384019392004
4,2,fid50k_full,1024,2.7133168501776064,2.7496277716919346,2.65645231464838,2.7361113690415646
5,1,kid50k_full,512,0.014180237507507458,0.014180237507507458,0.020122994334334357,0.020122994334334357
5,1,kid50k_full,640,0.007609320930930921,0.007694500392892906,0.0068974876476476585,0.006923138188188217
5,1,kid50k_full,768,0.006297759459459449,0.006210521876876856,0.005416868118118113,0.00562466059059061
5,1,kid50k_full,896,0.0055311909959959715,0.005421175705705719,0.004884036686686682,0.00516839227477476
5,1,kid50k_full,1024,0.005054116621621607,0.005292016346346373,0.004713967307307311,0.004753083583583584
5,1,fid50k_full,512,19.725624472339653,19.725624472339653,25.331948729454204,25.331948729454204
5,1,fid50k_full,640,11.868543461529708,11.941705094413521,10.788240801979482,10.887579668304221
5,1,fid50k_full,768,10.157980098289096,10.015825465963946,8.926234351907993,9.185658182810709
5,1,fid50k_full,896,9.041343881541234,8.871243090711628,8.07860513274551,8.364264480973786
5,1,fid50k_full,1024,8.379453301226578,8.488207911405944,7.708279530084881,7.783214036417319
5,2,kid50k_full,512,0.0019519279879879649,0.0019519279879879649,0.00472042614114112,0.00472042614114112
5,2,kid50k_full,640,0.0022032733708708704,0.0021945331706706836,0.0017888151701701918,0.0017827501651651483
5,2,kid50k_full,768,0.001395303598598548,0.001452052164664674,0.0011006416591591642,0.0011448176526526685
5,2,kid50k_full,896,0.001075458365865861,0.0010591883058057648,0.0009215910935935925,0.0009895922597597973
5,2,kid50k_full,1024,0.0010308451651651603,0.00098138768268268,0.0009592798648648387,0.0009382003453453536
5,2,fid50k_full,512,4.655834727263966,4.655834727263966,6.42421940059645,6.42421940059645
5,2,fid50k_full,640,3.6531287140800117,3.6482508473206976,3.5791667525725126,3.605789559663875
5,2,fid50k_full,768,3.074021130226909,3.1179089136633893,3.009195831159106,3.026766441711365
5,2,fid50k_full,896,2.8946782736437364,2.8487373572387673,2.7764996363200227,2.8521066207462242
5,2,fid50k_full,1024,2.8623330982260384,2.7679464104860405,2.7500424253212765,2.7611816139838266
6,1,kid50k_full,512,0.029086719349349338,0.029086719349349338,0.03388605871871874,0.03388605871871874
6,1,kid50k_full,640,0.010044782847847841,0.010178256934434426,0.008050932237237256,0.008059498566066078
6,1,kid50k_full,768,0.007566514879879938,0.008256980958458476,0.006424813153153141,0.006450138591091072
6,1,kid50k_full,896,0.006052253966466456,0.006646873713713685,0.005852581431431458,0.00591847143143143
6,1,kid50k_full,1024,0.0054177423123122756,0.005569344724724715,0.005384620297797787,0.005332016016015992
6,1,fid50k_full,512,38.08783499628684,38.08783499628684,38.98650478471191,38.98650478471191
6,1,fid50k_full,640,15.00808140808985,15.129510013359315,11.970237438668786,11.978391407115499
6,1,fid50k_full,768,11.53490443034983,12.310323058059613,9.740804035759684,9.749020297876815
6,1,fid50k_full,896,9.573036566472027,10.220351810324939,8.912993841048127,9.027501541437676
6,1,fid50k_full,1024,8.608455056024479,8.823104145953863,8.234427790786622,8.18673278440934
6,2,kid50k_full,512,0.004660465042542519,0.004660465042542519,0.004521086091091101,0.004521086091091101
6,2,kid50k_full,640,0.0019167444069068916,0.0019417847322322223,0.0013192613313313313,0.0012923976926926843
6,2,kid50k_full,768,0.0014147190465465156,0.001536436103603628,0.0011736482132132142,0.0011570831831832174
6,2,kid50k_full,896,0.0011147803503503292,0.001266456546546551,0.0011498235635635638,0.0011571293218217945
6,2,kid50k_full,1024,0.0010846282157157157,0.0011239393943943924,0.001099116416416432,0.001118357067067077
6,2,fid50k_full,512,6.704017296562357,6.704017296562357,7.698557019627024,7.698557019627024
