seed,arm,budget_kimg,nfe,mid_t,fid50k_full,kid50k_full,checkpoint_sha256,generated_feature_sha256,receipt_file
8,A,384,2,0.821,282.56162939587244,0.3178055082682683,a5b058eb7a027a944d0f6c94cb897dc932de6985577917f5c06c22fe8d5d0170,76e82c2c679715dacd23405b4674d97bd98f3d65e4112daa36c203907d26a2d6,seed8-armA-k384-nfe2.json
8,A,512,1,,89.08939413184683,0.07673503741991992,6b2255fae7ba89fc741f68b826dbb269f99e3348481b1c83d921bff91e634a56,3317d5ba9b3760530b7bf5107792cc9388e27061105a3101c9c97f0ef9ef1e7e,seed8-armA-k512-nfe1.json
8,A,512,2,0.821,253.59724283479719,0.28193199422922915,6b2255fae7ba89fc741f68b826dbb269f99e3348481b1c83d921bff91e634a56,db678a8a29c3b2e30526dc55d9f9ce0fd874f736a92e3c933a696d17258eba32,seed8-armA-k512-nfe2.json
8,A,640,1,,24.642088272963726,0.015862767692692695,d5d880a99d64f9cceba169ce745c347e3eca32b30a9be48ccd4a27653ff6847b,13fc888df24116c39fa90f825127b40e41faeecac46e14e2c40fecd2e3c13ac4,seed8-armA-k640-nfe1.json
8,A,640,2,0.821,110.01127997557582,0.10600972576326323,d5d880a99d64f9cceba169ce745c347e3eca32b30a9be48ccd4a27653ff6847b,2c0ce5cd3d2b7cb891b466a39ae9d9286330be4ee5f58c8e8d6d371d8f503d97,seed8-armA-k640-nfe2.json
8,A,768,1,,18.52497765224721,0.011867733938938928,88a153b2088ca95b748a546a648f8ec8ac441cafd6f93bb49443b7af89515d13,ed1df10a175b2f2075c7db6b0ffd629ec332df1f8e08d7f3c675b9344a1b0e1c,seed8-armA-k768-nfe1.json
8,A,768,2,0.821,26.391594189574903,0.019391874937437437,88a153b2088ca95b748a546a648f8ec8ac441cafd6f93bb49443b7af89515d13,632482a0d9b471081652b4831b01c0ccd94d25cd6857b4da51f8f8ea868c70d0,seed8-armA-k768-nfe2.json
8,A,896,1,,16.256413108323816,0.010288544339339355,8cb7fd667d5176ad3521bfce67de058f0405ca846b61d09f1c95793a83e4f8f3,2c6a85530555f0dffb040340eb239c4e057cbb9df0a6cc5cecfd1e3555753b08,seed8-armA-k896-nfe1.json
8,A,896,2,0.821,7.149975578219433,0.0037527193168168287,8cb7fd667d5176ad3521bfce67de058f0405ca846b61d09f1c95793a83e4f8f3,bc92d1c2506053dc5e7de0fbab6e97e4b61cbd20d8ece7ae93eb572290cedcec,seed8-armA-k896-nfe2.json
8,A,1024,1,,12.985779835604028,0.007959476831831826,6a907f8eed546fecb15f31219543698c6d541329e2e556b58ba62ef31ff7f715,0678afaf0795065f9c9b41fc32e1803a2964a362aabd06cab90a971ad2309a60,seed8-armA-k1024-nfe1.json
