seed,arm,snapshot,sha256,attempted_iteration
407,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,de4a001187124ddf4a10358bf33f15434f71d0f474b0967b82efcc4d1bbf56b0,4000
407,D_startup_up5,training-state-kimg000512.pt.sha256.json,ed491c34c80656dc4c1c3a58fa03a4c2e8ed78cb20db0de19a5786013fffa346,4000
407,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,89aa7ab50da4a14a77c80760524a626b0ed4a902cd0de495a97ae9d6483f1d3c,4000
408,AA,training-state-kimg000512.pt.sha256.json,fcbbd19db7b05c23c89ead637a9982f0ca97081f20dd912a9328c8ae022cd943,4000
408,AA,training-state-branch-init-kimg000512.pt.sha256.json,536cc10ce87a9f68f4a9c0fd40ecae070cea7a3d650aea3445c0300ab3b673a8,4000
408,DA,training-state-kimg000512.pt.sha256.json,2007a68aacc0811ea4aaabcfc778784387305c5d814d3b2a4d9977c4786890bf,4000
408,DA,training-state-branch-init-kimg000512.pt.sha256.json,7f37d8cd581507163b8f998a62cddb06860777d4f988aea1ccd3f63697155a53,4000
408,A_startup_down5,training-state-kimg000512.pt.sha256.json,01bf67decc12dcadfe0c2d789e2378915fd55628ac07d1e7c190733017781115,4000
408,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,cc58f3222b91892882c9190bd32cf721c3ceccc3850417b3f3ccd005a081b093,4000
408,D_startup_up5,training-state-kimg000512.pt.sha256.json,32e4924ceb850579f6ee90fd36ddabd116f116cbd35c5dc3d2c989a651768291,4000
408,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,b4dc7b56ac6db046f2fb8302ce7ccd4983214bae70fd29bdaeeba4b9b6c4b6e7,4000
409,AA,training-state-kimg000512.pt.sha256.json,31132667e556d1da517ee3816e35ba25a906f822702a7cf64c9047b22bf67990,4000
409,AA,training-state-branch-init-kimg000512.pt.sha256.json,789445a1d906c5f4e5309232512cb33e284eb6c7de1db6571eae7ca547bde258,4000
409,DA,training-state-kimg000512.pt.sha256.json,15536249f87362c6449933fdd49b38c9384436190237baa2a8510f725b644751,4000
409,DA,training-state-branch-init-kimg000512.pt.sha256.json,8dbebde2d988e26215efae43b215fab00048f2118187e4c534fefb3175c88dc8,4000
409,A_startup_down5,training-state-kimg000512.pt.sha256.json,c9f8e3219350ef07256a03f8070e77e95959d19ab5c02f007f4eef618f6f3ff9,4000
409,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,735a91dfa2aef9973a1179453a0cade5fb5c38648ffaa7bb1b15a0677e7a528c,4000
409,D_startup_up5,training-state-kimg000512.pt.sha256.json,aa25761f5d06fb2fbaf2b616b19985bba7ea21e9c68ea68badc5c2160a464c18,4000
409,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,710bea4412b56e9ea53258676b4555d0cd7fff13d5073936bc91e0b2cf4a8740,4000
410,AA,training-state-kimg000512.pt.sha256.json,b7db61d09259767352a6f5640a3b32c8ffbb87029af9ebf12b84664319c3727c,4000
410,AA,training-state-branch-init-kimg000512.pt.sha256.json,ced4940db66fd0dd851a62492ae70834ad8a41dc2858392e801f933451d6880c,4000
410,DA,training-state-kimg000512.pt.sha256.json,601a58f8bc66fe16a05d3f287fbfae42a34a96453a148a2091b6e0dcbf91572e,4000
410,DA,training-state-branch-init-kimg000512.pt.sha256.json,b8b3ef1a656ae8918a1879057db4e0934a51bb4aa397204b5d9bf325491c34f1,4000
410,A_startup_down5,training-state-kimg000512.pt.sha256.json,4b5ad4d71a9d8ac5d3b9b08675263e9660b5eeb373d53558059b4805ef9687a4,4000
410,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,986bda9b366de0b61546b42d91581ded0d54f51a111e652a5ef8c6af1d4cedf8,4000
410,D_startup_up5,training-state-kimg000512.pt.sha256.json,4193b6f2db736054d4fab5bcf71347d8b51a763ffa008165f234d8bdf7e4e382,4000
410,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,70173a9ee0f789f6eb982d70aa2d70459875acc669ff6a49ba33b620b5d926d7,4000
411,AA,training-state-kimg000512.pt.sha256.json,712b74a70a947ac8d122edbafd2a500776fc54630fd032ddbaa1a5d367a4b147,4000
411,AA,training-state-branch-init-kimg000512.pt.sha256.json,4dc0eeaa9f9d8bf4cf740fb7272ef5f3ea0b69584a9397809b8d7c8e449bb948,4000
411,DA,training-state-kimg000512.pt.sha256.json,7dc12eadaa53105a7cf19b4bdb59d187c37bc62816c46b4b71206d6f1817e710,4000
411,DA,training-state-branch-init-kimg000512.pt.sha256.json,157bc5dbb7635c21de3917f75c748865e1540089b79795d35ef5d70862836fe0,4000
411,A_startup_down5,training-state-kimg000512.pt.sha256.json,576aa109d0e046b55b4dff45549804195fc95bcc2f4be47c8f0811c2d575ef1b,4000
411,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,38639ffb7664d3fa377f188e58395115c748a13a753ea0e4e61bb2ad896b914a,4000
411,D_startup_up5,training-state-kimg000512.pt.sha256.json,e4a9afdf33ff94d05410bc1c88affdc5a6d0b914b4373d8baf3fe704c61a2425,4000
411,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,8e705d141c6b1477da0201a637d440822d2e76be335c78822f98c049980378b9,4000
412,AA,training-state-kimg000512.pt.sha256.json,d47742ba6d8bf93f366e6d85f16e638dd393c3cdcf5caf14ce182b11a8cf4827,4000
412,AA,training-state-branch-init-kimg000512.pt.sha256.json,feb7a5e8797a1662370922bdf3f0913d7077bfcbaa3c018ac7b59e22f3d5ee4b,4000
412,DA,training-state-kimg000512.pt.sha256.json,c92b96779eecbdbeed4936ceb1b1a0ce259b42f66e32cf21fc1539ad179ca46b,4000
412,DA,training-state-branch-init-kimg000512.pt.sha256.json,b5ebcf79c53cb53d70eb26923fdcb6c1a03cf18f1d1fbab558d50c6bf9965410,4000
412,A_startup_down5,training-state-kimg000512.pt.sha256.json,4b2c849927a3c9b7fa9349ee116f375a50ba009503a2078af71e6f25e2be77dd,4000
412,A_startup_down5,training-state-branch-init-kimg000512.pt.sha256.json,3698dcb985a4b19657f738a0465135071c70a332c4a21a18eb446ba63f81d48b,4000
412,D_startup_up5,training-state-kimg000512.pt.sha256.json,9c57662ea88001e018fd1dea4a7f010410e0c72fdbe49d655afa409d4923a3e5,4000
412,D_startup_up5,training-state-branch-init-kimg000512.pt.sha256.json,bf0895f321666632a1c564767d726ba3f203e7cb8deee58226aeb52cc5a7b4a4,4000
