training_seed,audit_batch_id,audit_seed,cell,gradient_mode,state_mode,a_star,R_grad,R_opt,control_update_norm,treatment_update_norm,update_norm_ratio,update_cosine,absolute_non_scalar_update_residual_l2,residual_norm_over_control_update_norm,finite_gate,branch_skipped_flag,source_state_hash,result_hash
3,2026081108,2026081108,B,observed,reset,0.5749458551026081,0.5389550087887308,0.5491096538204866,1.8136062633722785,1.8134949144018224,0.9999386035587189,0.8357281615380484,0.995868707447018,0.5491096538204866,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,00d2c802857aae1a5d46caa3f268b345298591c9db75346df8afe20fb73c3eca
3,2026081108,2026081108,C,exact_scalar,real,0.5749458551026081,5.55377415315957e-16,0.16953338571415985,0.1628100018848993,0.15058770217916853,0.9249290610882034,0.9830582547096064,0.027601730847675726,0.16953338571415985,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,28dc32bd5784638b96a3184a162053e785000e648a319913b19032be1344b6eb
3,2026081108,2026081108,D,exact_scalar,reset,0.5749458551026081,5.55377415315957e-16,0.004587466792164866,1.8136062633722785,1.8130058952024517,0.9996689644373469,0.9999894705487249,0.008319858507282535,0.004587466792164866,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,d0492f7440fb77bbdb04b14d78fa28302795c2f5204d3cd60ebb916ac916014a
4,2026081101,2026081101,A,observed,real,0.856565730583998,0.15211518745492073,0.08165964830053954,0.14825277041139484,0.14458758706278602,0.975277471453396,0.9964885069659981,0.012106269091375138,0.08165964830053954,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,c4816097c9f900f49c1178a25082c215768674847596844444ef8586f0e1a942
4,2026081101,2026081101,B,observed,reset,0.856565730583998,0.15211518745492073,0.4690594463549028,1.8138132112012642,1.8137235171917767,0.9999505494783402,0.8831542754714731,0.8507862206372734,0.4690594463549028,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,e986882f10cc0b8b6e0dc00d1847e1fafdf8620d2cfd49457d7750bba5639cf4
4,2026081101,2026081101,C,exact_scalar,real,0.856565730583998,1.4460600713197843e-15,0.05687787154298303,0.14825277041139484,0.14386752470966716,0.9704204805781448,0.9982808639983626,0.008432302031350671,0.05687787154298303,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,4ecc829413080879654d76f491c33454dd1a86b6ca23d4850142c5fd859c13cd
4,2026081101,2026081101,D,exact_scalar,reset,0.856565730583998,1.4460600713197843e-15,0.0010392954678243177,1.8138132112012642,1.813681212697948,0.9999272259665433,0.9999994598537054,0.0018850878498813458,0.0010392954678243177,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,cb887528226f65212560c8c63ae1f99103ef1d94a6285e92afd8ddbed14c5386
4,2026081102,2026081102,A,observed,real,0.7334442919665249,0.2701506717660726,0.08950390034344946,0.1441245787835612,0.14101886815453463,0.9784512075924915,0.9958073659802232,0.012899711936485491,0.08950390034344946,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,b7bf3971b6c17b65ad65556d7eb883652f2aed681d2c8e0db244366f373e5340
4,2026081102,2026081102,B,observed,reset,0.7334442919665249,0.2701506717660726,0.5208343021617772,1.8133028744801765,1.8132042424469272,0.9999456064209474,0.853640507923925,0.9444303372378274,0.5208343021617772,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,8466d086d15186e0db6ddafbff81318342be9748b2bc9b67a0d8a98d954b6a3a
4,2026081102,2026081102,C,exact_scalar,real,0.7334442919665249,2.33958210767488e-16,0.0999134235053001,0.1441245787835612,0.1379684090002901,0.9572857743264171,0.9945383725317227,0.014399980077524938,0.0999134235053001,True,False,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,e90f6226aa2a324c7e7b9240c923e86dd52e50b1f5fe307c2a31241b80938eff
