seed,horizon,space,block,contrast,value
3,64,state,m,denominator_effect_target_1p1,-68.92333205788515
3,64,state,m,conditional_interaction,32.85451990627712
3,64,state,net_buffer,target_effect_denominator_1p0,0.0
3,64,state,net_buffer,target_effect_denominator_1p1,0.0
3,64,state,net_buffer,denominator_effect_target_1p0,0.0
3,64,state,net_buffer,denominator_effect_target_1p1,0.0
3,64,state,net_buffer,conditional_interaction,0.0
3,64,state,scaler,target_effect_denominator_1p0,0.0
3,64,state,scaler,target_effect_denominator_1p1,0.0
3,64,state,scaler,denominator_effect_target_1p0,0.0
3,64,state,scaler,denominator_effect_target_1p1,0.0
3,64,state,scaler,conditional_interaction,0.0
3,64,state,theta,target_effect_denominator_1p0,0.0002218680228907033
3,64,state,theta,target_effect_denominator_1p1,0.0008493539826304186
3,64,state,theta,denominator_effect_target_1p0,-0.0007235229104480823
3,64,state,theta,denominator_effect_target_1p1,-9.603695070836693e-05
3,64,state,theta,conditional_interaction,0.0006274859597397153
3,64,state,v,target_effect_denominator_1p0,-928.4168989641039
3,64,state,v,target_effect_denominator_1p1,-616.9464978514006
3,64,state,v,denominator_effect_target_1p0,-1059.9966913624376
3,64,state,v,denominator_effect_target_1p1,-748.5262902497343
3,64,state,v,conditional_interaction,311.47040111270326
3,128,observable,feature,target_effect_denominator_1p0,-0.024583872637730764
3,128,observable,feature,target_effect_denominator_1p1,-0.020898693732004148
3,128,observable,feature,denominator_effect_target_1p0,-0.02442427241635059
3,128,observable,feature,denominator_effect_target_1p1,-0.020739093510623974
3,128,observable,feature,conditional_interaction,0.003685178905726616
3,128,observable,residual,target_effect_denominator_1p0,0.08296403010796327
3,128,observable,residual,target_effect_denominator_1p1,0.20322809640208073
3,128,observable,residual,denominator_effect_target_1p0,-0.0374607169834289
3,128,observable,residual,denominator_effect_target_1p1,0.08280334931068856
3,128,observable,residual,conditional_interaction,0.12026406629411746
3,128,state,EMA,target_effect_denominator_1p0,-2.3406668788084062e-05
3,128,state,EMA,target_effect_denominator_1p1,8.079400231508771e-05
3,128,state,EMA,denominator_effect_target_1p0,-7.299885055545019e-05
3,128,state,EMA,denominator_effect_target_1p1,3.120182054772158e-05
3,128,state,EMA,conditional_interaction,0.00010420067110317177
3,128,state,m,target_effect_denominator_1p0,4.241065061657366
3,128,state,m,target_effect_denominator_1p1,31.55478394046895
3,128,state,m,denominator_effect_target_1p0,-26.356867200457714
3,128,state,m,denominator_effect_target_1p1,0.9568516783538712
3,128,state,m,conditional_interaction,27.313718878811585
3,128,state,net_buffer,target_effect_denominator_1p0,0.0
3,128,state,net_buffer,target_effect_denominator_1p1,0.0
3,128,state,net_buffer,denominator_effect_target_1p0,0.0
3,128,state,net_buffer,denominator_effect_target_1p1,0.0
3,128,state,net_buffer,conditional_interaction,0.0
3,128,state,scaler,target_effect_denominator_1p0,0.0
3,128,state,scaler,target_effect_denominator_1p1,0.0
3,128,state,scaler,denominator_effect_target_1p0,0.0
3,128,state,scaler,denominator_effect_target_1p1,0.0
3,128,state,scaler,conditional_interaction,0.0
3,128,state,theta,target_effect_denominator_1p0,0.00035652881842906936
3,128,state,theta,target_effect_denominator_1p1,0.0018585198126856994
3,128,state,theta,denominator_effect_target_1p0,-0.002255960688671621
3,128,state,theta,denominator_effect_target_1p1,-0.000753969694414991
3,128,state,theta,conditional_interaction,0.00150199099425663
3,128,state,v,target_effect_denominator_1p0,-879.4578915464808
3,128,state,v,target_effect_denominator_1p1,-708.9882334889262
3,128,state,v,denominator_effect_target_1p0,-1442.099338127664
3,128,state,v,denominator_effect_target_1p1,-1271.6296800701093
3,128,state,v,conditional_interaction,170.46965805755462
3,256,observable,feature,target_effect_denominator_1p0,-0.030267945885771752
3,256,observable,feature,target_effect_denominator_1p1,0.0271921799694006
3,256,observable,feature,denominator_effect_target_1p0,-0.02556153888728474
3,256,observable,feature,denominator_effect_target_1p1,0.03189858696788761
3,256,observable,feature,conditional_interaction,0.05746012585517235
3,256,observable,residual,target_effect_denominator_1p0,0.056733279221190536
3,256,observable,residual,target_effect_denominator_1p1,0.004084376995756367
3,256,observable,residual,denominator_effect_target_1p0,0.01855274110183991
3,256,observable,residual,denominator_effect_target_1p1,-0.03409616112359426
3,256,observable,residual,conditional_interaction,-0.05264890222543417
3,256,state,EMA,target_effect_denominator_1p0,-0.0001305201831200975
3,256,state,EMA,target_effect_denominator_1p1,0.00024006901867323904
3,256,state,EMA,denominator_effect_target_1p0,-0.0003338957794767339
3,256,state,EMA,denominator_effect_target_1p1,3.6693422316602664e-05
3,256,state,EMA,conditional_interaction,0.00037058920179333654
3,256,state,m,target_effect_denominator_1p0,-138.80184811587378
3,256,state,m,target_effect_denominator_1p1,67.99320765381412
3,256,state,m,denominator_effect_target_1p0,-199.9595822254043
3,256,state,m,denominator_effect_target_1p1,6.835473544283616
3,256,state,m,conditional_interaction,206.7950557696879
3,256,state,net_buffer,target_effect_denominator_1p0,0.0
3,256,state,net_buffer,target_effect_denominator_1p1,0.0
3,256,state,net_buffer,denominator_effect_target_1p0,0.0
3,256,state,net_buffer,denominator_effect_target_1p1,0.0
3,256,state,net_buffer,conditional_interaction,0.0
3,256,state,scaler,target_effect_denominator_1p0,0.0
3,256,state,scaler,target_effect_denominator_1p1,0.0
3,256,state,scaler,denominator_effect_target_1p0,0.0
3,256,state,scaler,denominator_effect_target_1p1,0.0
3,256,state,scaler,conditional_interaction,0.0
3,256,state,theta,target_effect_denominator_1p0,-0.003888693186581804
3,256,state,theta,target_effect_denominator_1p1,0.0030049713946027623
3,256,state,theta,denominator_effect_target_1p0,-0.006320155805497052
3,256,state,theta,denominator_effect_target_1p1,0.0005735087756875146
3,256,state,theta,conditional_interaction,0.0068936645811845665
3,256,state,v,target_effect_denominator_1p0,-3196.734239917132
3,256,state,v,target_effect_denominator_1p1,-488.4317720723484
3,256,state,v,denominator_effect_target_1p0,-4574.337680772791
3,256,state,v,denominator_effect_target_1p1,-1866.0352129280072
3,256,state,v,conditional_interaction,2708.3024678447837
3,500,observable,feature,target_effect_denominator_1p0,-0.061157358257986516
3,500,observable,feature,target_effect_denominator_1p1,-0.11094319477255254
3,500,observable,feature,denominator_effect_target_1p0,0.0178961484370177
3,500,observable,feature,denominator_effect_target_1p1,-0.03188968807754833
3,500,observable,feature,conditional_interaction,-0.04978583651456603
3,500,observable,residual,target_effect_denominator_1p0,0.05292702692429052
3,500,observable,residual,target_effect_denominator_1p1,0.0434729354687855
3,500,observable,residual,denominator_effect_target_1p0,-0.045710358954180075
3,500,observable,residual,denominator_effect_target_1p1,-0.055164450409685095
3,500,observable,residual,conditional_interaction,-0.00945409145550502
3,500,state,EMA,target_effect_denominator_1p0,-0.00016596992327322369
3,500,state,EMA,target_effect_denominator_1p1,0.00044834652726422064
3,500,state,EMA,denominator_effect_target_1p0,-0.0007392652069029282
3,500,state,EMA,denominator_effect_target_1p1,-0.00012494875636548386
3,500,state,EMA,conditional_interaction,0.0006143164505374443
3,500,state,m,target_effect_denominator_1p0,-19.40481159412343
3,500,state,m,target_effect_denominator_1p1,63.681979204324875
3,500,state,m,denominator_effect_target_1p0,-43.976524028093536
3,500,state,m,denominator_effect_target_1p1,39.11026677035477
3,500,state,m,conditional_interaction,83.0867907984483
3,500,state,net_buffer,target_effect_denominator_1p0,0.0
3,500,state,net_buffer,target_effect_denominator_1p1,0.0
3,500,state,net_buffer,denominator_effect_target_1p0,0.0
3,500,state,net_buffer,denominator_effect_target_1p1,0.0
3,500,state,net_buffer,conditional_interaction,0.0
3,500,state,scaler,target_effect_denominator_1p0,0.0
3,500,state,scaler,target_effect_denominator_1p1,0.0
3,500,state,scaler,denominator_effect_target_1p0,0.0
3,500,state,scaler,denominator_effect_target_1p1,0.0
3,500,state,scaler,conditional_interaction,0.0
3,500,state,theta,target_effect_denominator_1p0,7.811969408066943e-05
3,500,state,theta,target_effect_denominator_1p1,-0.0009117874842559104
3,500,state,theta,denominator_effect_target_1p0,-0.006392754259650246
3,500,state,theta,denominator_effect_target_1p1,-0.007382661437986826
3,500,state,theta,conditional_interaction,-0.0009899071783365798
