seed,horizon,arm,branch_label,space,block,value_norm
3,256,A,B384_to_A,state,v,73453.39484298234
3,256,A,B384_to_A,state,net_buffer,1.4142135623730951
3,256,A,B384_to_A,state,scaler,64.0
3,256,A,B384_to_A,observable,residual,0.8074035395024097
3,256,A,B384_to_A,observable,feature,22.400402124476578
3,256,B,B384_to_B,state,theta,3962.2666626076034
3,256,B,B384_to_B,state,EMA,3962.104035428692
3,256,B,B384_to_B,state,m,477.3119131845786
3,256,B,B384_to_B,state,v,68390.6253901372
3,256,B,B384_to_B,state,net_buffer,1.4142135623730951
3,256,B,B384_to_B,state,scaler,64.0
3,256,B,B384_to_B,observable,residual,0.830040657600006
3,256,B,B384_to_B,observable,feature,22.402032765558694
3,256,C,B384_to_C,state,theta,3962.2660890988277
3,256,C,B384_to_C,state,EMA,3962.1039987352697
3,256,C,B384_to_C,state,m,470.476439640295
3,256,C,B384_to_C,state,v,70256.6606030652
3,256,C,B384_to_C,state,net_buffer,1.4142135623730951
3,256,C,B384_to_C,state,scaler,64.0
3,256,C,B384_to_C,observable,residual,0.8641368187236003
3,256,C,B384_to_C,observable,feature,22.370134178590806
3,256,D,B384_to_D,state,theta,3962.263657636209
3,256,D,B384_to_D,state,EMA,3962.1037953596733
3,256,D,B384_to_D,state,m,409.3187055307645
3,256,D,B384_to_D,state,v,68879.05716220954
3,256,D,B384_to_D,state,net_buffer,1.4142135623730951
3,256,D,B384_to_D,state,scaler,64.0
3,256,D,B384_to_D,observable,residual,0.8259562806042496
3,256,D,B384_to_D,observable,feature,22.374840585589293
3,500,A,B384_to_A,state,theta,3962.285978660452
3,500,A,B384_to_A,state,EMA,3962.1224883343234
3,500,A,B384_to_A,state,m,524.9053816903703
3,500,A,B384_to_A,state,v,75720.28115744305
3,500,A,B384_to_A,state,net_buffer,1.4142135623730951
3,500,A,B384_to_A,state,scaler,128.0
3,500,A,B384_to_A,observable,residual,1.0740328604227911
3,500,A,B384_to_A,observable,feature,36.494826864623406
3,500,B,B384_to_B,state,theta,3962.2786741187083
3,500,B,B384_to_B,state,EMA,3962.1221974156438
3,500,B,B384_to_B,state,m,544.6108368666016
3,500,B,B384_to_B,state,v,67764.49366986877
3,500,B,B384_to_B,state,net_buffer,1.4142135623730951
3,500,B,B384_to_B,state,scaler,128.0
3,500,B,B384_to_B,observable,residual,1.0717954369373965
3,500,B,B384_to_B,observable,feature,36.40177981828787
