evidence_group,evidence_status,source_pr,source_commit,source_file,seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,256,1,318.17492909507325,0.3437222127627628
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,256,2,294.1033972824922,0.3122039176501501
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,384,1,46.8479738649154,0.0406471382782782
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,384,2,155.09414869672676,0.1610858221996997
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,512,1,30.198733114738125,0.0234524012237237
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,512,2,38.03046029566098,0.028246237585085
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,640,1,19.49960014041373,0.0143675806756756
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,640,2,8.736602336437295,0.0050329700725725
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,768,1,14.93462509128731,0.0104744864264264
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,768,2,3.5892582263905437,0.0013319054304304
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,896,1,12.057970915426967,0.0079890176876876
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,896,2,3.271691840476438,0.0017216944644644
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,1024,1,10.672001795929289,0.0068147115315315
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,C,1024,2,3.084804855317648,0.0013548854829829
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,256,1,329.2346175418478,0.3450168130030031
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,256,2,194.67010904240104,0.2027555608108108
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,384,1,270.36046341640906,0.2744540346321322
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,384,2,73.6247171358762,0.0592847641391391
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,512,1,54.7367036369794,0.0457245903778779
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,512,2,14.35674276246164,0.0093895828328328
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,640,1,12.659450594994295,0.0082975331981982
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,640,2,3.722394975417609,0.0016994332582582
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,D,768,1,11.337760552443488,0.0073062521496496
