arm,k,next_k,space,block,coordinate_count,b_norm,R_norm,delta_norm,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,closure_l2,closure_relative,closure_max_abs,closure_pass
C,3,4,state,v,55732739,0.12379837572249762,0.7704591902375634,0.788540270467913,0.0674257770571437,0.22287661378510976,0.9876558256903331,6.223499991345601,0.0,0.0,0.0,True
C,3,4,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,3,4,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,3,4,observable,residual,393216,0.18136644419301834,0.18071056531661314,0.18688408108039334,-0.46719438742962793,0.5187144981394125,0.5135653072573843,0.9963836812298796,0.0,0.0,0.0,True
C,3,4,observable,feature,49152,0.03592966686175984,0.03749676505935406,0.03845417687199966,-0.45211653304567456,0.49349020018978484,0.5526673660203609,1.0436157174410678,0.0,0.0,0.0,True
D,3,4,state,theta,55732739,0.0007118971807706678,0.005259225331580318,0.005337047918609557,0.04244517239384763,0.17521407356434418,0.991080089744231,7.387619270927464,0.0,0.0,0.0,True
D,3,4,state,EMA,55732771,9.438986006382755e-06,3.877363666840793e-05,3.892071426036635e-05,-0.10610764168963767,0.13681164287340628,0.9704880509295578,4.1078180052591176,0.0,0.0,0.0,True
D,3,4,state,m,55732739,2.739348444036363,5.085232060232312,5.941504723968925,0.06955608125669546,0.5205848353446855,0.8879518991061061,1.8563655424351007,0.0,0.0,0.0,True
D,3,4,state,v,55732739,0.46268005604451407,1.9563461114054126,2.369935690910248,0.8701379783694337,0.9135147062079975,0.9953610172003516,4.228291420491213,0.0,0.0,0.0,True
D,3,4,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,3,4,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,3,4,observable,residual,393216,0.1666489759599342,0.16724924946224926,0.17845542056655306,-0.4287085138576754,0.5320533188497457,0.5368590897289822,1.0036020233479226,0.0,0.0,0.0,True
D,3,4,observable,feature,49152,0.03729657631044302,0.037440168950937984,0.03718856191694115,-0.5048058202268693,0.4946833156608756,0.5004936785794838,1.0038500220315063,0.0,0.0,0.0,True
B,4,5,state,theta,55732739,0.0011599049605432782,0.010026501899390004,0.010438002931570694,0.30420952465574236,0.4033398308964727,0.9943814064938996,8.644244347997075,0.0,0.0,0.0,True
B,4,5,state,EMA,55732771,1.2070866681311299e-05,6.271553239473728e-05,6.322572550078136e-05,-0.053796660336691136,0.1375544593336362,0.9816599111883063,5.195611388189425,0.0,0.0,0.0,True
B,4,5,state,m,55732739,3.034234600074537,8.433452304734338,9.421862388618134,0.16494918666557984,0.4696869383137391,0.9482145318702221,2.7794331738643967,0.0,0.0,0.0,True
B,4,5,state,v,55732739,0.25613392410687286,2.930128125763052,2.9708349131830962,0.11632474860578836,0.2009469927359158,0.9963269338728731,11.43982834753449,0.0,0.0,0.0,True
B,4,5,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,4,5,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,4,5,observable,residual,393216,0.16012493901844732,0.1798580184901441,0.1937629164140596,-0.35494808325931426,0.4969200602389667,0.6349098195892197,1.1232355159206238,0.0,0.0,0.0,True
