layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block4.proj,0.005563732547482805,0.005356613902691652,0.9953846722416361,0.958329921208744,1.033872180974901,0.09239291919740295,0.09606190699870323,0.0,65733,65792,0.9991032344357976,1.0000000000000002,0.9583299212087439,0.09235640323446978,0.3726649837720882,0.9595238095238096,1.54387676508344,65733,0.9583272716979477,0.09239651241013805,0.9595566078712598,0.0020859368089800093,0.0020859368083559157,9.795676805209314e-09,0.005563728460383692,0.005356590114545733,0.9583266711183634,1.0338763383841219,0.09238944668760112,0.09605881457582004,0.0
model.dec.16x16_block4.qkv,0.009090072197626484,0.008767257783531724,0.9942016116495533,0.958894674171046,1.0308085666041082,0.10371334098577521,0.10754068991712756,0.0,197259,197376,0.9994072227626459,1.0,0.958894674171046,0.10368272168383008,0.33532241874632246,0.9599217986314761,1.5983425196850374,197259,0.9588951637416929,0.10369652936104823,0.9599320486647268,0.001595798992948391,0.0015957989923092153,2.46131276377927e-08,0.00909005410847003,0.00876724169309311,0.9588950343910576,1.0308086349005745,0.1037113980864711,0.10753865325875003,0.0
model.dec.16x16_block4.skip,0.00749398900316009,0.007204137970585104,0.9947413478812007,0.9562669376963422,1.034763736126075,0.09845765456538151,0.10254869115630458,0.0,131307,131328,0.9998400950292398,1.0,0.9562669376963422,0.09844994620685903,0.32558139534883723,0.9565217391304348,1.562846694796062,131307,0.9562678636512615,0.09845647739021161,0.9565126789787255,0.0008954273814562633,0.0008954273812863491,3.998405491571507e-09,0.007493988440810066,0.0072041446361067185,0.9562678876433132,1.0347626939547676,0.09845781699009037,0.10254868136359868,0.0
model.dec.16x16_up.affine,0.007041640765047237,0.006751593674013891,0.9946602231042128,0.9536898990129892,1.0373906239854673,0.09895288295277137,0.10348784032199096,0.0,131245,131328,0.9993679946393762,1.0,0.9536898990129892,0.0989196408744779,0.3146067415730337,0.9452852153667055,1.4406779661016949,131245,0.9536876770434246,0.09894921065048082,0.9452897287002522,0.0016638252677334863,0.0016638252703943647,1.5298813061355808e-08,0.007041663660694809,0.006751598707958452,0.9536876851090492,1.0373934149033772,0.09895093956325327,0.10348623524978752,0.0
model.dec.16x16_up.conv0,0.015679751007228414,0.015146214257464397,0.9947495800980064,0.9609011179923301,1.0297903796517993,0.09885670800796596,0.10233970297493314,0.0,589638,590080,0.9992509490238611,1.0,0.9609011179923302,0.09882110531634808,0.3497684334338015,0.9623655913978495,1.5542168674698795,589638,0.9609020371319458,0.09885127842594496,0.9623814667473285,0.0019097035852862088,0.0019097035835784397,8.116250273335634e-08,0.015679743353058027,0.01514621709351625,0.9609023845418672,1.0297903459586164,0.09885077186681661,0.10233348661603767,0.0
model.dec.16x16_up.conv1,0.01582295022576645,0.015267995931707145,0.9947182204359714,0.9598307222176525,1.0308737938510508,0.09904338776688335,0.10265321823544363,0.0,589579,590080,0.999150962581345,1.0000000000000002,0.9598307222176523,0.09900399624607956,0.3492063492063492,0.9614803625377644,1.5614035087719298,589579,0.9598303610536577,0.0990444684870037,0.9614808577470102,0.002093346651788112,0.00209334664866065,9.161848966028425e-08,0.015822941764161304,0.01526797694712852,0.9598306063387568,1.030875130465606,0.09903784868615177,0.10264756173083515,0.0
model.dec.16x16_up.norm0,0.00040981664603271503,0.0003859993515837492,0.9935511908492559,0.9358090237321878,1.054856219382298,0.10679488161514632,0.11589175613796678,0.0,512,512,1.0,1.0,0.9358090237321878,0.10679488161514632,0.30423976608187137,0.9347826086956522,1.393362688671613,512,0.9356950545282843,0.10678351260959214,0.936322099804219,0.002093710462098481,0.0020937104623175986,0.0,0.0004098282973608407,0.00038596451977375017,0.9356923889849731,1.0549751100054652,0.1068311524554407,0.11596511158398672,0.0
model.dec.16x16_up.norm1,0.0004583496749463402,0.00044090477006051497,0.995140972895119,0.9572656550557963,1.0345148712944496,0.09471294141355462,0.09858320661392742,0.0,511,512,0.998046875,1.0,0.9572656550557963,0.09470401355086795,0.3279569892473118,0.9649122807017544,1.5403852127990059,511,0.9571026561804307,0.09454163781131117,0.962831969913128,0.003412370143980007,0.0034123701442554566,1.666466370830656e-11,0.0004584052552603244,0.00044087263168742885,0.9570919580997569,1.0347288625126287,0.09457180386483426,0.09846615528692619,0.0
model.dec.16x16_up.skip,0.00520009856645246,0.0050225762043620194,0.994933595463844,0.9609682850504357,1.0300994057578685,0.09710220971236767,0.10053654278507498,0.0,65789,65792,0.9999544017509727,1.0,0.9609682850504357,0.09709741432505707,0.35114089026941026,0.9616230750427768,1.5721708637903256,65789,0.9609679624753943,0.09709895747676625,0.961625809610921,0.0003025679439628329,0.0003025679443209563,1.1812221216666524e-09,0.0052000967651387306,0.005022572886332154,0.9609680145204905,1.0300997631288324,0.09710186816746649,0.10053621957709234,0.0
model.dec.32x32_aux_conv,0.0021127231267705792,0.0020464976341986988,0.998185830848298,0.9668966630967023,1.0304875287449993,0.058321070514168245,0.0602175722779058,0.0,6912,6915,0.9995661605206074,1.0,0.9668966630967025,0.05829538132457887,0.6357725169955801,0.9725742885932878,1.2940463275474123,6912,0.9668960592912756,0.05829397315908998,0.9724942924284737,0.0002196001614598568,0.00021960016130504845,6.272371111510234e-10,0.002112721431694779,0.002046494728075597,0.9668961033295903,1.030488205288917,0.05832041255154004,0.06021693260816196,0.0
model.dec.32x32_aux_norm,0.0006489422795281065,0.0006309558742189675,0.9987804095319013,0.9710977175153911,1.027252240914573,0.04800455750319623,0.0494171616730503,0.0,510,512,0.99609375,1.0,0.9710977175153911,0.04800455750319623,0.7367195102935317,0.9754150954652393,1.192979408625208,510,0.9710742436023695,0.04793829476799117,0.9742862305418618,0.0015635740321537413,0.001563574032374172,0.0,0.0006489711898041489,0.000630967048718226,0.9710748947738556,1.0272832385909338,0.04793768561039226,0.04934852037631369,0.0
model.dec.32x32_block0.affine,0.008901078652917498,0.00882523209588069,0.9954850773933162,0.987002496950433,1.004040559547383,0.09410937613807534,0.09819199943578337,0.0,131301,131328,0.9997944078947368,1.0,0.987002496950433,0.09410352624475958,0.5881294964028777,0.9917962003454232,1.6476190476190475,131301,0.9870021313070555,0.0941092836282269,0.991826787740361,0.0008590960893260564,0.0008590961003372625,4.091842991605301e-09,0.008901075942048186,0.008825226548154456,0.9870024237704129,1.0040411358550878,0.09410675853245705,0.09818946589621251,0.0
model.dec.32x32_block0.conv0,0.02209057651421513,0.021403727015272607,0.9944062069913816,0.9634877108363421,1.026316883320322,0.10233928010417953,0.10566561175015542,0.0,1179086,1179904,0.9993067232588414,0.9999999999999999,0.9634877108363422,0.1023051015470368,0.33581494757879043,0.9647058823529412,1.5909090909090908,1179086,0.9634890051800655,0.10233391629016299,0.9647231150024276,0.0018744882244187172,0.0018744882213654855,1.601046689804111e-07,0.022090560969497942,0.021403732300853736,0.963489065119496,1.0263163746246595,0.10233525026246323,0.10566138271609554,0.0
model.dec.32x32_block0.conv1,0.014969843177055239,0.014440439943181537,0.9940558557665327,0.9589014203813644,1.0304990934216554,0.10502108554347593,0.10887643856082474,0.0,589415,590080,0.998873034164859,1.0000000000000002,0.9589014203813643,0.10496041930926363,0.3136050716744369,0.9597701149425287,1.6,589415,0.9589046106093992,0.10499868511901159,0.9597110003565599,0.00249572937475372,0.002495729369569948,1.3390565822252793e-07,0.014969821025743596,0.014440448099870199,0.9589046958542143,1.030498399579846,0.10500929361786206,0.1088639807848827,0.0
model.dec.32x32_block0.norm0,0.0007891652748355215,0.0007675280738714259,0.9962631452393236,0.9689477696468559,1.0243485620735702,0.08400174470367187,0.08650945743675711,0.0,1021,1024,0.9970703125,1.0,0.9689477696468559,0.08392697608849639,0.4266666666666667,0.974477958236659,1.5194805194805194,1021,0.9689247197465047,0.08380050191414573,0.9734163374507965,0.002714921360988265,0.0027149213610736704,3.6678924821982734e-10,0.0007891872779520402,0.0007675325072573573,0.9689212575552653,1.0243658202232682,0.08405862329142627,0.08656882516148767,0.0
model.dec.32x32_block0.norm1,0.0005244010792207602,0.0005187062331917056,0.9950160327158658,0.9842104426297856,1.0059402567566889,0.09863219009198655,0.10237960719893628,0.0,512,512,1.0,1.0,0.9842104426297856,0.09863219009198655,0.5269701086956522,1.0,1.4843577981651372,512,0.9841830856971349,0.09845155755096544,0.9980644305209392,0.003926763288340536,0.003926763289549421,0.0,0.0005243939945829946,0.0005186878450886632,0.9841924888411636,1.0059660484312059,0.0985936966728678,0.10233805880441679,0.0
model.dec.32x32_block0.skip,0.007216320801475333,0.006996349928602158,0.9948579837336994,0.9645323115404664,1.026137119468763,0.09819252006316435,0.10132917586903918,0.0,131301,131328,0.9997944078947368,1.0,0.9645323115404664,0.09818607547209587,0.34313005143277003,0.9646690518783542,1.5820336868371803,131301,0.9645310118816292,0.09819285849033547,0.9646377387235161,0.0007265449752022485,0.0007265449752455879,3.0914165225698354e-09,0.007216325906060598,0.006996344791583284,0.9645309355374819,1.0261386141582718,0.09819223632272839,0.10132900025965444,0.0
model.dec.32x32_block1.affine,0.009233863018505931,0.009149311889442232,0.9961609317988619,0.9870394480445611,1.0053667095153187,0.08673925631136879,0.09072202924443283,0.0,131297,131328,0.9997639498050682,0.9999999999999999,0.9870394480445613,0.08673452076786436,0.4695121951219512,0.9850684363334716,1.4548992861084327,131297,0.9870402904298834,0.08674509030701806,0.9850641501751244,0.0008710896880497556,0.0008710896846608372,3.285540814091393e-09,0.009233859378926805,0.009149315920144676,0.9870404068352191,1.0053660077439284,0.08673779355352093,0.09072086253846331,0.0
