kimg,seed,method,nfe,fid50k,kid50k
7680,102,IB,2,3.7151590169095416,0.0019766588388388344
7680,103,IA,1,9.883501181164807,0.006193499642142174
7680,103,IA,2,4.673906735931386,0.002523121251251214
7680,103,IB,1,9.583912059451364,0.005945200180180186
7680,103,IB,2,3.7667301527666934,0.002119668666166185
8960,101,IA,1,8.218996390568906,0.00520689372872871
8960,101,IA,2,3.7947930918745865,0.0022420592792793057
8960,101,IB,1,8.840799222951917,0.005527475625625625
8960,101,IB,2,3.8521051233879504,0.00219273807057054
8960,102,IA,1,8.480842104083028,0.005446223360860904
8960,102,IA,2,3.8191670740607098,0.0023419965690690925
8960,102,IB,1,8.74037880605094,0.0055296354079078765
8960,102,IB,2,3.862143460541142,0.002308221629129148
8960,103,IA,1,21.773378890677943,0.01732221225225223
8960,103,IA,2,44.714700264701904,0.04286033992742741
8960,103,IB,1,331.36768114617564,0.38472405734985
8960,103,IB,2,282.8137856435987,0.28750500705705706
10240,101,IA,1,6.373092409678185,0.003887524329329358
10240,101,IA,2,3.3453035278643206,0.0018948855030029971
10240,101,IB,1,6.716101457939498,0.004144900695695705
10240,101,IB,2,3.3940443605831567,0.001969950510510489
10240,102,IA,1,6.447032584132756,0.004015855988488475
10240,102,IA,2,3.368347368261374,0.0020355805155154987
10240,102,IB,1,6.548984162313153,0.004035098443443481
10240,102,IB,2,3.361356688385871,0.001987803616116107
10240,103,IA,1,269.538279316143,0.26849034150900897
10240,103,IA,2,253.03935938517617,0.22787292528778785
10240,103,IB,1,317.86715440280284,0.3521956035685684
10240,103,IB,2,213.5777375615947,0.2244270255330329
11520,101,IA,1,5.567043589300424,0.0033455911661661774
11520,101,IA,2,3.29778835337802,0.0019790699274274174
11520,101,IB,1,5.713624336527676,0.003463479882382389
11520,101,IB,2,3.349468870267767,0.002017831321321314
11520,102,IA,1,5.652257890296202,0.0035535451551551474
11520,102,IA,2,3.3382015745240965,0.0020908602377377153
11520,102,IB,1,5.71112036990476,0.0035298796771771734
11520,102,IB,2,3.36058790957782,0.002101395763263258
11520,103,IA,1,371.02606768694613,0.45381756199199186
11520,103,IA,2,237.16583458658488,0.27935094949949946
11520,103,IB,1,319.57166972489836,0.35963753251001
11520,103,IB,2,204.16599422780067,0.24253846680180177
12800,101,IA,1,5.248718572923762,0.003131490950950947
