profile,nfe,metric,effect,arithmetic_definition,log_definition,n,per_seed_deltas_json,mean_delta,sample_sd_delta,ci95_low_delta,ci95_high_delta,negative_wins,positive_losses,ties,wins_of_3,per_seed_log_contrasts_json,mean_log_contrast,sample_sd_log_contrast,ci95_low_log_contrast,ci95_high_log_contrast,geometric_relative_percent,geometric_relative_ci95_low_percent,geometric_relative_ci95_high_percent
aggressive,1,kid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[-0.009896978735923767,-0.011244326829910278,0.003309011459350586]",-0.005944098035494487,0.008041695294792404,-0.02592077644557046,0.014032580374581483,2,1,0,2/3,"[-0.0808103561008876,-0.03486615053427,0.007526591352090994]",-0.036049971761022204,0.04418037059430644,-0.14580009571460834,0.07370015219256393,-3.540791008667663,-13.566953071947028,7.648397573887583
aggressive,1,kid5k_full,global_main_effect,0.5 * [(global - fixed) + (combined - local)],0.5 * [log(global / fixed) + log(combined / local)],3,"[-0.18126230686903,-0.01250062882900238,-0.010724961757659912]",-0.06816263248523076,0.09795121493722332,-0.3114869377401531,0.17516167276969163,3,0,0,3/3,"[-0.6641769962372845,-0.039501848538133766,-0.02532357921826567]",-0.24300080799789467,0.3648181629046492,-1.1492593581347434,0.6632577421389542,-21.57291199179195,-68.31286293064117,94.1105666941109
aggressive,1,kid5k_full,local_main_effect,0.5 * [(local - fixed) + (combined - global)],0.5 * [log(local / fixed) + log(combined / global)],3,"[-0.016634218394756317,0.0066972821950912476,-0.0049148499965667725]",-0.004950595398743947,0.011665791368091876,-0.03393002747326246,0.024028836675774563,2,1,0,2/3,"[-0.07164649547157403,0.02091474694480122,-0.011566687014808119]",-0.02076614518052698,0.0469613503034448,-0.13742460565743045,0.0958923152963765,-2.055201357846826,-12.83999387664007,10.064053546238128
aggressive,1,fid5k_full,global_at_local0,global - fixed,log(global / fixed),3,"[-136.0720630560961,-20.735001629500744,-8.265460909829983]",-55.02417519847561,70.46589569483916,-230.07116287597844,120.02281247902724,3,0,0,3/3,"[-0.5149115212079325,-0.06838441202896917,-0.02245678697285669]",-0.20191757340325278,0.27203169890215484,-0.8776817707652282,0.4738466239587227,-18.283771892782717,-58.42544110242851,60.61606215768715
aggressive,1,fid5k_full,global_at_local1,combined - local,log(combined / local),3,"[-145.134184869573,-27.121193063857902,-5.739501755903916]",-59.331626563111605,75.07232139575437,-245.82160996151455,127.15835683529136,3,0,0,3/3,"[-0.5757492915718236,-0.08822913009657807,-0.015740194580827982]",-0.22657287208307655,0.3045599947272914,-0.983141835244543,0.52999609107839,-20.27387578913973,-62.58662163529861,69.89256676383151
aggressive,1,fid5k_full,local_at_global0,local - fixed,log(local / fixed),3,"[-6.54102692788922,7.4569197009525965,-4.69180455903745]",-1.258637261991358,7.604314941078261,-20.14880264853971,17.631528124556997,2,1,0,2/3,"[-0.01953530944695192,0.023492879000331257,-0.012685419808168952]",-0.0029092834182632052,0.023120032056622625,-0.060342626549889596,0.05452405971336318,-0.29050555542713336,-5.8558084676754705,5.603788407686464
aggressive,1,fid5k_full,local_at_global1,combined - global,log(combined / global),3,"[-15.603148741366113,1.070728266595438,-2.1658454051113836]",-5.566088626627352,8.841707080267712,-27.530106469106357,16.397929215851654,2,1,0,2/3,"[-0.08037307981084307,0.003648160932722355,-0.005968827416140243]",-0.027564582098086987,0.045985592191839425,-0.14179912506916476,0.08666996087299077,-2.718814570590878,-13.22044426484471,9.053670053732116
aggressive,1,fid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-151.67521179746223,-19.664273362905305,-10.431306314941367]",-60.590263825102966,79.01685092733538,-256.87900172026855,135.6984740700626,3,0,0,3/3,"[-0.5952846010187756,-0.06473625109624681,-0.028425614388996934]",-0.22948215550133977,0.3173140202455982,-1.0177338742103967,0.5587695632077173,-20.505484609099017,-63.85869797473042,74.85197331340629
aggressive,1,fid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[-9.062121813476892,-6.386191434357158,2.525959153926067]",-4.307451364635995,6.067270830848903,-19.37938753873992,10.76448480946793,2,1,0,2/3,"[-0.06083777036389115,-0.019844718067608902,0.0067165923920287085]",-0.024655298679823783,0.03403313453400328,-0.10919829104026549,0.059887693680617915,-2.435383940807772,-10.344737848083058,6.171730228709894
aggressive,1,fid5k_full,global_main_effect,0.5 * [(global - fixed) + (combined - local)],0.5 * [log(global / fixed) + log(combined / local)],3,"[-140.60312396283456,-23.928097346679323,-7.0024813328669495]",-57.17790088079361,72.7423192101955,-237.87983802160886,123.52403626002166,3,0,0,3/3,"[-0.5453304063898781,-0.07830677106277362,-0.019098490776842336]",-0.21424522274316468,0.2882524141033129,-0.9303039101692941,0.5018134646829647,-19.284957089034535,-60.55661802943945,65.17138811731586
aggressive,1,fid5k_full,local_main_effect,0.5 * [(local - fixed) + (combined - global)],0.5 * [log(local / fixed) + log(combined / global)],3,"[-11.072087834627666,4.263823983774017,-3.428824982074417]",-3.4123629443093555,7.667969162331291,-22.46065418129114,15.63592829267243,2,1,0,2/3,"[-0.0499541946288975,0.013570519966526806,-0.009327123612154598]",-0.015236932758175096,0.03217206434493004,-0.09515677050969114,0.06468290499334094,-1.5121438037402921,-9.076961721596245,6.682068723159502
aggressive,2,kid5k_full,global_at_local0,global - fixed,log(global / fixed),3,"[-0.02074715495109558,-0.08098914101719856,-0.022442013025283813]",-0.041392769664525986,0.034301932951321744,-0.12660349430567044,0.04381795497661847,3,0,0,3/3,"[-0.058513436808160346,-1.2208422201721705,-0.0539891625365061]",-0.444448273172279,0.6723806867898379,-2.1147344823307863,1.2258379359862281,-35.8822066470546,-87.93346759242922,240.70197514835598
aggressive,2,kid5k_full,global_at_local1,combined - local,log(combined / local),3,"[-0.017977416515350342,-0.12271123379468918,-0.022107213735580444]",-0.05426528801520666,0.059311882675446674,-0.20160417150546225,0.09307359547504893,3,0,0,3/3,"[-0.050782360969705564,-1.5137574512622818,-0.05407368652710909]",-0.5395378329196988,0.8437005433082624,-2.6354061554847137,1.5563304896453163,-41.698235832102085,-92.8310153729531,374.1390701641618
aggressive,2,kid5k_full,local_at_global0,local - fixed,log(local / fixed),3,"[-0.0019716620445251465,0.042463310062885284,-0.007010042667388916]",0.011160535116990408,0.027225798598208655,-0.05647209744571249,0.0787931676796933,2,1,0,2/3,"[-0.005415779159145817,0.3145532311919106,-0.016553282622267407]",0.09752805647016578,0.18803179476647203,-0.369568812687718,0.5646249256280496,10.244237177094094,-30.89677692623607,75.87879826945067
aggressive,2,kid5k_full,local_at_global1,combined - global,log(combined / global),3,"[0.0007980763912200928,0.0007412172853946686,-0.006675243377685547]",-0.0017119832336902618,0.004298403387562397,-0.01238980911522061,0.008965842647840087,1,2,0,1/3,"[0.0023152966793089647,0.021638000101799282,-0.0166378066128704]",0.0024384967227459495,0.019138200767123206,-0.045103429209198846,0.04998042265469075,0.24414722740118108,-4.410139111717851,5.125051548021696
