job_id,seed,arm,kimg,nfe,mid_t,fid50k_full,kid50k_full,samples,sample_seed_start,sample_seed_end,metric_seed,precision,source,fid_timestamp,kid_timestamp,status
seed3-armBsame-kimg000768-nfe2,3,Bsame,768,2,0.821,3.1619155153598069,0.0011476098023023133,50000,0,49999,20260730,fp32,server-main,1787570348.7814498,1787570342.44681,SEALED_PASS
seed3-armBsame-kimg000896-nfe1,3,Bsame,896,1,,9.2217457583928528,0.0058397162587587809,50000,0,49999,20260730,fp32,server-main,1787570333.3916337,1787570328.0048344,SEALED_PASS
seed3-armBsame-kimg000896-nfe2,3,Bsame,896,2,0.821,3.0337997784302111,0.0011104100825825797,50000,0,49999,20260730,fp32,server-main,1787570416.0663753,1787570404.4432282,SEALED_PASS
seed3-armBsame-kimg001024-nfe1,3,Bsame,1024,1,,8.7602752269988144,0.0055447426276276522,50000,0,49999,20260730,fp32,server-main,1787570412.414067,1787570399.1355271,SEALED_PASS
seed3-armBsame-kimg001024-nfe2,3,Bsame,1024,2,0.821,2.9842769171332062,0.0010985576276276517,50000,0,49999,20260730,fp32,server-main,1787570498.8666925,1787570493.4622486,SEALED_PASS
seed3-armBmatch-kimg000256-nfe1,3,Bmatch,256,1,,327.7005042437479,0.34092799987988004,50000,0,49999,20260730,fp32,server-main,1787569352.5584261,1787569347.2587636,SEALED_PASS
seed3-armBmatch-kimg000256-nfe2,3,Bmatch,256,2,0.821,164.49986220322785,0.16602154409409417,50000,0,49999,20260730,fp32,server-main,1787569482.5082607,1787569467.718838,SEALED_PASS
seed3-armBmatch-kimg000384-nfe1,3,Bmatch,384,1,,269.97185344410332,0.27267667061311301,50000,0,49999,20260730,fp32,server-main,1787569451.6168702,1787569445.8188949,SEALED_PASS
seed3-armBmatch-kimg000384-nfe2,3,Bmatch,384,2,0.821,58.880064461696911,0.04413994649899898,50000,0,49999,20260730,fp32,server-main,1787569607.9763792,1787569600.49826,SEALED_PASS
seed3-armBmatch-kimg000512-nfe1,3,Bmatch,512,1,,54.65100251644666,0.045725719972472455,50000,0,49999,20260730,fp32,server-main,1787569039.7888753,1787568966.0228214,SEALED_PASS
seed3-armBmatch-kimg000512-nfe2,3,Bmatch,512,2,0.821,11.851806361572718,0.0071780355855855802,50000,0,49999,20260730,fp32,server-main,1787569287.7390723,1787569282.0471702,SEALED_PASS
seed3-armBmatch-kimg000640-nfe1,3,Bmatch,640,1,,12.27601000575509,0.0079519233983983816,50000,0,49999,20260730,fp32,server-main,1787569484.5437498,1787569463.6701531,SEALED_PASS
seed3-armBmatch-kimg000640-nfe2,3,Bmatch,640,2,0.821,3.7709983405094016,0.0020704548223223172,50000,0,49999,20260730,fp32,server-main,1787569619.3863854,1787569613.558457,SEALED_PASS
seed3-armBmatch-kimg000768-nfe1,3,Bmatch,768,1,,10.897815417853939,0.0068914847747747945,50000,0,49999,20260730,fp32,server-main,1787569647.6331308,1787569639.6149268,SEALED_PASS
seed3-armBmatch-kimg000768-nfe2,3,Bmatch,768,2,0.821,3.1545678050272761,0.0014462303428428231,50000,0,49999,20260730,fp32,server-main,1787569734.8432233,1787569729.709239,SEALED_PASS
seed3-armBmatch-kimg000896-nfe1,3,Bmatch,896,1,,9.3317469774526529,0.0056641604304304566,50000,0,49999,20260730,fp32,server-main,1787569664.9175568,1787569659.087304,SEALED_PASS
seed3-armBmatch-kimg000896-nfe2,3,Bmatch,896,2,0.821,2.8868323455186276,0.0010506677377376901,50000,0,49999,20260730,fp32,server-main,1787569862.4667323,1787569856.9724133,SEALED_PASS
seed3-armBmatch-kimg001024-nfe1,3,Bmatch,1024,1,,8.5439628501854994,0.005104851316316281,50000,0,49999,20260730,fp32,server-main,1787569795.3810499,1787569789.6448514,SEALED_PASS
seed3-armBmatch-kimg001024-nfe2,3,Bmatch,1024,2,0.821,2.7664791909628041,0.00093287375625627188,50000,0,49999,20260730,fp32,server-main,1787569900.2871273,1787569894.6703951,SEALED_PASS
seed3-armCmatch-kimg000256-nfe1,3,Cmatch,256,1,,279.77184930100702,0.28789870478228224,50000,0,49999,20260730,fp32,server-partition,1787569503.1529872,1787569407.756138,SEALED_PASS
seed3-armCmatch-kimg000256-nfe2,3,Cmatch,256,2,0.821,55.924895478782787,0.040519312214714748,50000,0,49999,20260730,fp32,server-partition,1787569599.9389744,1787569500.709145,SEALED_PASS
seed3-armCmatch-kimg000384-nfe1,3,Cmatch,384,1,,132.46425810031275,0.12023354286286286,50000,0,49999,20260730,fp32,server-partition,1787569732.5727315,1787569709.9951558,SEALED_PASS
seed3-armCmatch-kimg000384-nfe2,3,Cmatch,384,2,0.821,19.081898368386675,0.01430509088088092,50000,0,49999,20260730,fp32,server-partition,1787569885.1619906,1787569861.8846474,SEALED_PASS
seed3-armCmatch-kimg000512-nfe1,3,Cmatch,512,1,,36.23698273404618,0.028232979274274272,50000,0,49999,20260730,fp32,server-partition,1787569951.235067,1787569930.426942,SEALED_PASS
seed3-armCmatch-kimg000512-nfe2,3,Cmatch,512,2,0.821,7.0191794116604278,0.0046389689539539543,50000,0,49999,20260730,fp32,server-partition,1787570190.4341168,1787570166.6296413,SEALED_PASS
seed3-armCmatch-kimg000640-nfe1,3,Cmatch,640,1,,11.080862950980121,0.0069001094769769317,50000,0,49999,20260730,fp32,server-partition,1787570180.0623715,1787570139.2698672,SEALED_PASS
seed3-armCmatch-kimg000640-nfe2,3,Cmatch,640,2,0.821,3.3855942711054743,0.0012684920795796007,50000,0,49999,20260730,fp32,server-partition,1787570445.3319902,1787570428.5930686,SEALED_PASS
seed3-armCmatch-kimg000768-nfe1,3,Cmatch,768,1,,8.4654228521620603,0.0049917546496496381,50000,0,49999,20260730,fp32,data-card-partition,1787569550.660788,1787569493.9615567,SEALED_PASS
seed3-armCmatch-kimg000768-nfe2,3,Cmatch,768,2,0.821,2.9553060427966615,0.00095009002752749895,50000,0,49999,20260730,fp32,data-card-partition,1787569796.0907388,1787569789.2806096,SEALED_PASS
