phase,label,gpu_index,elapsed_seconds,gpu_hours
evaluation,588616c9181a5ef1dec2be65,1,212.24423956684768,0.05895673321301324
evaluation,5be4eb002e084830a46f8071,5,669.4698571674526,0.18596384921318126
evaluation,5c9e5d29dfc1bdbd1b527aa1,1,640.9493021313101,0.1780414728142528
evaluation,5d12422b75c162dd7f950218,5,793.3704580692574,0.22038068279701595
evaluation,5d95b77e56c5c8e6620b224d,2,273.4856122005731,0.0759682256112703
evaluation,5df3d0d93a370ddb9b5c864a,3,609.6937514832243,0.16935937541200677
evaluation,5fa9abc7130638fa98f2dcd1,4,334.98711380548775,0.09305197605707993
evaluation,60e6e2d22bdaee0250f78bf1,5,852.4859194047749,0.23680164427910413
evaluation,61d188afcf05de36cbdebe77,0,639.108692037873,0.1775301922327425
evaluation,62444efff9ef52a1e4eafd0e,3,639.0525331152603,0.17751459253201676
evaluation,62d88c8025aeeb85b0fd19f4,5,396.1415149541572,0.11003930970948811
evaluation,64151683011215e605f89583,1,760.7857171138749,0.21132936586496523
evaluation,64b3f78ba7252756e8414eb1,0,273.98561371397227,0.07610711492054785
evaluation,6520d5ba57f0b6932b881652,5,549.2465470992029,0.15256848530533412
evaluation,65441c202dbdad7cf4fb9b78,2,670.6968386135995,0.18630467739266654
evaluation,659b6ea3ee2c8512e4f4be78,2,274.44288803450763,0.07623413556514101
evaluation,66bb5ff4bb63c783b91228de,1,792.2516121082008,0.220069892252278
evaluation,6720a630cad39aa95dc3d21c,5,730.4629605496302,0.20290637793045285
evaluation,6740614d28b45fbad8ca583b,3,273.78354123048484,0.07605098367513467
evaluation,6754d3ddb7b74579bbb7ab50,0,731.6142111783847,0.20322616977177355
evaluation,67acc5bf6a89dfbe591bc044,2,334.0729308333248,0.09279803634259022
evaluation,6b987a1f673fdec5867aca8f,0,639.294132027775,0.1775817033410486
evaluation,6be00483de9f726ce2edd917,1,792.1601585149765,0.22004448847638236
evaluation,6bfdc691032c59c6c335befd,1,701.5196503428742,0.19486656953968728
evaluation,6e023acf75faa7e353457d8a,0,670.7431678595021,0.18631754662763947
evaluation,6f1292f5eb664a22c29afcf4,2,669.4259684681892,0.18595165790783033
evaluation,71fd48b23303fe5fcb0bc715,0,640.2133852075785,0.1778370514465496
evaluation,7556e4d8d079dfdc3d622dea,4,701.9170452728868,0.1949769570202463
evaluation,76a8a34c21ac3b7a69bdcf25,5,212.30026002135128,0.05897229445037536
evaluation,76c080d7c48d9653bd37becc,5,427.3084200043231,0.1186967833345342
evaluation,771d8f00c0547422be4e42b5,5,212.18617770820856,0.05894060491894682
evaluation,778c5cf83c7f711ba8a0da28,2,730.7275438625365,0.20297987329514905
evaluation,781240c959611be5d4d77e22,4,518.3424421790987,0.1439840117164163
evaluation,78236527385aa4311ae55520,1,242.65659985598177,0.06740461107110604
evaluation,792e5eb2feae84d3a1b91679,2,396.07513788249344,0.11002087163402595
evaluation,7a1e5ee97311e48037c59fe2,0,242.70059399772435,0.06741683166603454
evaluation,7a98184c4a4a136e4e362c65,1,701.7351478254423,0.19492642995151174
evaluation,7bec99df18e2a44a0ded6e52,0,242.84511249978095,0.0674569756943836
evaluation,7d31b8e0c34fc6d0ab921424,4,608.7180575300008,0.1690883493138891
evaluation,80966fe6a883499e1d330205,1,639.5493695382029,0.1776526026495008
evaluation,82389059cdf1658fa4d6be96,5,792.6008756551892,0.22016690990421922
evaluation,83988157fe287df0c8579e30,0,670.4097912190482,0.18622494200529116
evaluation,846f01674972391faa6e5d50,1,699.9513651272282,0.1944309347575634
evaluation,8695243732ada6475fbe9845,2,242.97446854505688,0.06749290792918247
evaluation,86df7e2c540610fe9f41e00b,3,273.29668188560754,0.07591574496822431
evaluation,893421edddc7aae2905635be,4,700.443496841006,0.19456763801139054
evaluation,8abc3029b857dc9d169b13bc,3,274.2201699092984,0.07617226941924957
evaluation,8d033fb990f4e104fb11befe,2,639.2268015779555,0.17756300043832096
evaluation,8deec528158353b564315096,3,700.4076538328081,0.1945576816202245
evaluation,8e9416d2559f65b4818e6bad,4,488.1747322566807,0.13560409229352244
evaluation,8f7e779e002806198824236e,0,242.6256028758362,0.06739600079884339
evaluation,91b1e993b9893d20f6087bfb,2,793.2109077973291,0.22033636327703587
evaluation,92eaa989370627edfd08fe80,2,396.26509386952966,0.11007363718598047
evaluation,93f054ae48cd8176626436de,4,762.7027543410659,0.21186187620585165
evaluation,97406f75b5baa5b143c0cbc0,0,578.7762700486928,0.1607711861246369
evaluation,9a22a8380cd7c7ffaca5c433,4,212.33216998260468,0.0589811583285013
evaluation,9b8d01530e07142525908e7a,2,608.9573548790067,0.1691548207997241
evaluation,9df7ec1eca66747fa7f0a403,1,701.527606818825,0.19486877967189584
evaluation,9ea9b8af31780e0ab915431b,0,304.45091070607305,0.08456969741835363
evaluation,9f0ea0625694b1e4932a08b6,2,274.6221601543948,0.07628393337622077
evaluation,9f3a3cc9a06f4ed34f41ba5d,2,304.23555209394544,0.08450987558165152
evaluation,a09e746b629a3748ceabdd3c,1,730.8381236419082,0.20301058990053006
evaluation,a10a29f531df6306288991bd,5,914.8635386442766,0.2541287607345213
evaluation,a12ae021af86f896d710cd47,0,609.7189231067896,0.16936636752966377
evaluation,a13d6ced4e4bd2cdc8b61e51,3,517.9602350862697,0.14387784307951934
evaluation,a178bddfa8d7eb7834afbd41,5,242.90812230110168,0.0674744784169727
evaluation,a2a1f65209e705bec2a2fd84,1,212.34083347860724,0.058983564855168674
evaluation,a35252a54f2d9940b5172d2d,3,670.9711818471551,0.18638088384643198
evaluation,a368a4846daa1591623479db,5,242.74683550558984,0.06742967652933052
evaluation,a4449f6c5d2eb9bdfd1ba6f9,1,640.7871407680213,0.17799642799111703
evaluation,a4b5e28695af4250da4d5bf8,1,732.1764476764947,0.2033823465768041
evaluation,a5e6a3c619e4ff15018bf8c3,0,669.6266764104366,0.18600741011401017
evaluation,a60ff2bf38d4200d06ad74a7,5,732.5532663306221,0.2034870184251728
evaluation,a616c0f0410435398c02dd13,0,579.6511119259521,0.16101419775720893
evaluation,a7adc123c1f2eafdebf6e32f,1,333.5528166061267,0.09265356016836854
evaluation,a7c754cc59ed5fcc499fe92a,4,608.8882038379088,0.1691356121771969
evaluation,a7d6ac054bf928f93c225a70,2,395.8164470605552,0.10994901307237645
evaluation,a994052135e28941966ddb68,0,549.8201600173488,0.15272782222704134
evaluation,aa7b7a5101c44d6c128f3da4,4,760.6203777864575,0.211283438274016
evaluation,ad27529c3ebb36d790797952,4,608.4539648825303,0.1690149902451473
evaluation,ae9a193855f6376d4ae75beb,3,640.7746257418767,0.17799295159496573
