budget_kimg,cell,fid50k_full,kid50k_full,kind,nfe,opaque_id,seed
640,BA,18.199994996747787,0.012916723266243935,suffix,1,b59961668b628c674b786c27,32
512,B,26.04463736477494,0.018187159672379494,prefix,1,366b10bfb4423aa7e1809b61,40
1024,AA,13.80438174093543,0.00863379891961813,suffix,1,91b1e993b9893d20f6087bfb,40
1024,AA,10.528914707151841,0.006531677208840847,suffix,1,2063ebc6284d2fb00714a99f,32
768,AA,8.227156581696022,0.004817138891667128,suffix,1,09f9daa526bf8e8ae45b217d,37
768,BA,13.835872184029252,0.009151325561106205,suffix,1,a10a29f531df6306288991bd,42
1024,BB,7.605363423331268,0.004794360138475895,suffix,1,05571cf6e195126492221516,37
640,AA,17.725014369504123,0.011971918866038322,suffix,1,80966fe6a883499e1d330205,42
1024,BA,12.826777491172981,0.007900005206465721,suffix,1,452735cffa7101ffd571aa65,31
1024,AB,10.143172769911097,0.006027317140251398,suffix,1,62444efff9ef52a1e4eafd0e,41
640,BB,19.423206630449002,0.01468074694275856,suffix,1,d92853ba185356cd1fec33f8,35
640,BB,14.562765116095877,0.00972660630941391,suffix,1,4b5bd08e10a2f583f144d4a5,41
1024,BA,8.159572841808904,0.005123959854245186,suffix,1,61d188afcf05de36cbdebe77,39
640,BA,11.242652940677077,0.006947006564587355,suffix,1,f59a2b6b1def31b03717570b,34
768,BB,11.05284175865141,0.007351679727435112,suffix,1,9f0ea0625694b1e4932a08b6,35
1024,AB,7.614300040519951,0.004465839825570583,suffix,1,1f0512b92058ce7aab452837,33
1024,AA,3.6665370956218393,0.0016126122791320086,suffix,2,93f054ae48cd8176626436de,40
768,AB,14.409043446419869,0.00950442161411047,suffix,1,6720a630cad39aa95dc3d21c,32
768,AB,11.918096247202374,0.007397201843559742,suffix,1,ec0354cd8c1175010b1a7832,34
640,BA,14.755933157553088,0.009906912222504616,suffix,1,a4449f6c5d2eb9bdfd1ba6f9,41
896,BA,11.424047342683906,0.007293498609215021,suffix,1,39d215b4c174d840f877a645,42
640,AA,186.18710471871483,0.2003549188375473,suffix,1,d1a3f27e3d3e0492f1b6e8a0,31
768,AA,9.230292768826805,0.005492351017892361,suffix,1,1b8203c481a7933aa56c5897,35
896,BA,7.772356205032397,0.004621721338480711,suffix,1,41af055505c8138ace4d8987,37
640,AA,16.21086385325728,0.01078476570546627,suffix,1,d839c57e66155bf2313e3b96,41
1024,AA,2.7848942556161957,0.0009513964760117233,suffix,2,64151683011215e605f89583,39
896,AB,12.482272783198184,0.007943252101540565,suffix,1,cc30679f5b7197bbfcf953dc,42
512,B,26.980806109695855,0.020242691040039062,prefix,1,d97630efb4f765395031a0cf,32
896,AA,15.67215715405947,0.010157390497624874,suffix,1,aa7b7a5101c44d6c128f3da4,31
512,B,37.55794175151562,0.02890942431986332,prefix,1,218b569632bbfce656f3b23e,36
768,AB,9.9560646464074,0.00630482891574502,suffix,1,3d481182d580f55a25492233,33
1024,BA,2.75523713085638,0.0009833594085648656,suffix,2,0ec8f2cdf183ebdff88274d8,39
1024,AB,8.473443529386016,0.005132047925144434,suffix,1,9f3a3cc9a06f4ed34f41ba5d,39
768,BA,9.84062984535566,0.006033159326761961,suffix,1,b4e99633f6895a0227aa9263,39
512,A,26.758204492215462,0.01962878555059433,prefix,1,207334ba6bcef6c46672bc31,32
768,BA,17.40354369038862,0.010865161195397377,suffix,1,a368a4846daa1591623479db,31
896,AA,11.68401968695117,0.00726698013022542,suffix,1,eef9a6b4caf8805771042a6a,32
1024,AB,2.8122491667080163,0.0009231445146724582,suffix,2,10f7870c82ca55696088cc9e,35
512,B,57.97706526824971,0.04849107190966606,prefix,1,8695243732ada6475fbe9845,35
1024,BB,10.858915893842244,0.007057951297610998,suffix,1,e2035e986c6b106b9f2dc711,32
896,BB,9.103178448294056,0.005604001693427563,suffix,1,d08d781f68449534481c3913,36
1024,AB,8.49666121090997,0.005072290077805519,suffix,1,d0952c57af4bf3d61a2c13ac,36
896,AA,11.217613448743247,0.006927544251084328,suffix,1,368631ae29e5760a9efd2858,41
896,BB,8.360860818413787,0.005266799591481686,suffix,1,f0493e3c05502685c30eba41,33
1024,AB,2.750570054518106,0.0009244409156963229,suffix,2,b6217f62e9c9dbd3961ef4a5,36
896,BA,9.040774475981323,0.005696013104170561,suffix,1,a13d6ced4e4bd2cdc8b61e51,35
640,BB,12.584484959396342,0.0081105912104249,suffix,1,a7c754cc59ed5fcc499fe92a,39
512,A,246.4740305518637,0.2706514596939087,prefix,1,a60ff2bf38d4200d06ad74a7,31
1024,BA,2.8073483819971425,0.0009333789348602295,suffix,2,6e023acf75faa7e353457d8a,36
1024,AB,10.442148026777915,0.006563420407474041,suffix,1,a4b5e28695af4250da4d5bf8,32
1024,AB,7.667989161905388,0.004777636379003525,suffix,1,3a26c53a0190e045c2bbd71f,37
896,BB,8.912945397644442,0.005630051251500845,suffix,1,4a0d02530a59233f604067c1,39
640,AA,10.383167302464766,0.006359694991260767,suffix,1,781240c959611be5d4d77e22,37
768,BB,14.475774651485068,0.00992230698466301,suffix,1,130d2bb0e4884c2376bc9ca5,32
768,BB,17.2306719720185,0.010733461938798428,suffix,1,71fd48b23303fe5fcb0bc715,31
512,B,30.348376805940894,0.025092713534832,prefix,1,9df7ec1eca66747fa7f0a403,33
896,AB,9.085436164727884,0.005443337373435497,suffix,1,eccccf8cbc2d8ddc395aee44,36
512,A,27.763698150795157,0.02276715636253357,prefix,1,fbab81acd92012bc974b69d0,33
1024,AA,2.7744717265304693,0.0008785473764874041,suffix,2,7556e4d8d079dfdc3d622dea,35
640,BB,23.413944433250855,0.014006948098540306,suffix,1,e24e036732e54e0946ab2331,31
640,AA,23.866286698763336,0.01471235416829586,suffix,1,6754d3ddb7b74579bbb7ab50,40
1024,BA,3.0381805152006436,0.0013699950650334358,suffix,2,af5c28a4e439f804e44f9e26,32
640,BB,10.95544000441234,0.006692016497254372,suffix,1,e9a01c9df6101de480d7aeed,36
512,A,86.13560576747557,0.07299463450908661,prefix,1,f3bedeaa0db1fcf80cfccec3,40
1024,AA,9.565235857365513,0.005681750364601612,suffix,1,893421edddc7aae2905635be,34
640,AB,26.418466882140486,0.01689201034605503,suffix,1,6520d5ba57f0b6932b881652,40
1024,BB,2.8449626686654064,0.0009843262378126383,suffix,2,fad9751d0c6fc839518d5350,34
640,BA,16.06876446346574,0.010989482514560223,suffix,1,0fef71aa31ffcf5719e6b367,42
512,B,130.68170959097338,0.1247570812702179,prefix,1,65441c202dbdad7cf4fb9b78,31
640,BB,10.467776299812016,0.0063071483746171,suffix,1,ae9a193855f6376d4ae75beb,37
1024,AA,7.812954196763526,0.004672326613217592,suffix,1,36611d8067f2da63852872f8,33
896,BA,9.096672818286557,0.005529702175408602,suffix,1,5be4eb002e084830a46f8071,36
1024,BB,2.743925937028136,0.0009693407919257879,suffix,2,0cc50b6a50541bfff596474e,41
768,AB,17.68362442316346,0.011270464397966862,suffix,1,532b8fe93fecd49d39c4860a,40
512,A,44.93500396654185,0.03590155392885208,prefix,1,ccb03f88d7ff9d988321ae1e,36
1024,BA,9.919107237807758,0.00616046879440546,suffix,1,a35252a54f2d9940b5172d2d,42
768,AA,14.201797827324013,0.009167567826807499,suffix,1,44564c1f8855e0767d99a8c8,42
768,BB,8.228617018431478,0.004741101060062647,suffix,1,330d15bc931996c1ce1349a5,37
1024,AA,10.125144110506142,0.006147634703665972,suffix,1,263cb76831c9271ae18a98ed,41
1024,BB,2.9309603416910446,0.0011294360738247633,suffix,2,0dc46bb0ddd7596313199238,42
1024,BB,10.404447672840023,0.0064442092552781105,suffix,1,9b8d01530e07142525908e7a,42
1024,BB,9.41342711605284,0.005753371864557266,suffix,1,86df7e2c540610fe9f41e00b,41
896,AA,8.186316586879807,0.004678076133131981,suffix,1,f2a48e1d20316ed181a14416,35
1024,BB,2.7044852497599106,0.0009508105576969683,suffix,2,ee677fd5d3c889a16a8d0a49,37
1024,BB,7.582383826661957,0.004643493797630072,suffix,1,f37fa2c79bac3e8a6f281e89,33
896,BA,12.222956217793527,0.008081206120550632,suffix,1,4f0d0762b5404440d8155c0f,32
640,AB,10.949574622494886,0.006606352515518665,suffix,1,5d95b77e56c5c8e6620b224d,36
1024,BA,10.710541808195181,0.006931938696652651,suffix,1,249cc559af860da4c4cd601e,32
896,BA,9.189981036412053,0.005602851510047913,suffix,1,9a22a8380cd7c7ffaca5c433,34
1024,AB,2.7029399144019792,0.0008865625131875277,suffix,2,3341b9ebe531eeacbd3932da,33
640,BB,16.44432965543936,0.011233799159526825,suffix,1,7bec99df18e2a44a0ded6e52,42
768,AA,11.81414553597266,0.007235900964587927,suffix,1,78236527385aa4311ae55520,34
896,AB,8.875823978362426,0.0052636670880019665,suffix,1,aee2e3625f2b6585219e700c,39
