seed,arm,q,window,sum_update_norm,net_displacement_norm,net_source,first_attempt,last_attempt
303,A_startup_down5,128,1_5,0.695548740647475,0.5306471684462422,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
303,A_startup_down5,128,6_10,0.07713701523582348,0.07456402857188654,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
303,D_startup_up5,128,1_5,0.8420384554488582,0.5578618819128823,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
303,D_startup_up5,128,6_10,0.062166758281177494,0.058637016605603706,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
303,AA,128,1_5,0.8446985720282654,0.5561992857023617,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
303,AA,128,6_10,0.06223271739454089,0.05867423600292222,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
303,DA,128,1_5,0.698486346838845,0.5324400651630087,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
303,DA,128,6_10,0.07684708589677836,0.07424127976172536,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
304,D_startup_up5,128,1_5,1.088023239284643,0.8870887233697926,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
304,D_startup_up5,128,6_10,0.07729803205509404,0.07650322303296936,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,18
304,AA,128,1_5,1.0874899334326358,0.8797853797140252,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
304,AA,128,6_10,0.07689556278878117,0.0761656541940749,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
304,DA,128,1_5,0.9450789018610862,0.7493683859724428,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
304,DA,128,6_10,0.07974598339903193,0.07882817372715972,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,18
304,A_startup_down5,128,1_5,0.9449390804962448,0.7421491885992887,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
304,A_startup_down5,128,6_10,0.07953215241603193,0.07863036577698021,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
305,AA,128,1_5,0.7684834420240243,0.509177424018865,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
305,AA,128,6_10,0.061884171070683947,0.05857241529533131,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
305,DA,128,1_5,0.5967804372903154,0.4792902824772569,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
305,DA,128,6_10,0.0628555074145103,0.059574107159717525,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,17
305,A_startup_down5,128,1_5,0.5900644122682567,0.47917346059797616,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
305,A_startup_down5,128,6_10,0.0629171031633356,0.05963855996467566,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,17
305,D_startup_up5,128,1_5,0.7570899161872919,0.5111326589300904,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
305,D_startup_up5,128,6_10,0.06243434147804361,0.05893496469628187,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
306,DA,128,1_5,0.5528703182851479,0.45554449449517465,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
306,DA,128,6_10,0.06458861145201082,0.06106721482024354,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,17
306,A_startup_down5,128,1_5,0.5478507316534076,0.4529724397249702,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
306,A_startup_down5,128,6_10,0.06472210412264615,0.0611677702045581,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,17
306,D_startup_up5,128,1_5,0.6845908265075845,0.48219878778473824,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
306,D_startup_up5,128,6_10,0.06354826805799874,0.06013774339574715,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,17
306,AA,128,1_5,0.7043342165125073,0.4836967049040426,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
306,AA,128,6_10,0.0650981633582312,0.06147742254310527,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,17
307,A_startup_down5,128,1_5,0.9337468396079448,0.7605459036644089,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
307,A_startup_down5,128,6_10,0.07825451053030412,0.07731287215690937,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
307,D_startup_up5,128,1_5,0.9581166368120849,0.731099158087186,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
307,D_startup_up5,128,6_10,0.08046857181226527,0.07928560515198563,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
307,AA,128,1_5,0.9762548730228594,0.770380003018108,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
307,AA,128,6_10,0.07912781545703279,0.0781272265046155,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
307,DA,128,1_5,0.9350730463052258,0.7607343742018843,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
307,DA,128,6_10,0.07819163129770068,0.07724535205161481,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
308,D_startup_up5,128,1_5,1.2442518882074456,0.9167249549932625,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
308,D_startup_up5,128,6_10,0.07050695026113132,0.06955287057224312,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,18
308,AA,128,1_5,1.0400631601765964,0.7417390547373286,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,13
308,AA,128,6_10,0.07452015316029094,0.07342829540498938,existing float64 window-vector accumulator; not reconstructed from scalar norms,14,18
308,DA,128,1_5,0.982823063577559,0.7137807753116593,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
308,DA,128,6_10,0.07452531193237144,0.07338896635939834,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,18
308,A_startup_down5,128,1_5,0.9755923966137482,0.7076512118043286,existing float64 window-vector accumulator; not reconstructed from scalar norms,8,12
308,A_startup_down5,128,6_10,0.07496543858891376,0.07385545621888401,existing float64 window-vector accumulator; not reconstructed from scalar norms,13,18
