seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full,training_state_sha256,snapshot_sha256,generated_feature_sha256,status
7,A,768,2,3.623598173063562,0.0018541960110110085,66f2414b8dcb332542241a2453c5e199e3697b0751a341cdd514e22fce4fbd52,bf681bf14571f219d5eaa556919c870f8290cc0ae844ec3ba60269ef2d9dac19,e714cdabeee29f94f42020ecf341f9b43b5b4503f164ee88b6cc174469745381,PASS
7,A,896,1,10.931086687845125,0.006961985783283262,cb4a025ff02faaa7e63584955bc850b561699d006536686cd26eab9cdf50d3b6,516b5953f781389155cebeb622e809a47e934a29fb9850d67e2c8d1045a90657,8e1df690a1a9edfc3ac8e47517de95df5a53844c04393690f408eff3202f2d37,PASS
7,A,896,2,3.2441560411624186,0.001415265152652628,cb4a025ff02faaa7e63584955bc850b561699d006536686cd26eab9cdf50d3b6,516b5953f781389155cebeb622e809a47e934a29fb9850d67e2c8d1045a90657,209ef36079f56e68d1ee4585c4a7fddaafd772868f464816672dba8a3e56309a,PASS
7,A,1024,1,9.76113399886719,0.006149064769769775,a4164c7dab7d2ac4cf9372a7f1e3ae5195ad86bf3f28a2147fc48b8d5954ed72,cae3b91701fcf88601b195191decd6b13b211da6cf842e8ce82cddcca33ac35f,0e0f912d8a1ce7a4ad0d24276025e74866d29518e3a9618caa0eb0c17d19bcb7,PASS
7,A,1024,2,3.037461922998093,0.0010474994894894736,a4164c7dab7d2ac4cf9372a7f1e3ae5195ad86bf3f28a2147fc48b8d5954ed72,cae3b91701fcf88601b195191decd6b13b211da6cf842e8ce82cddcca33ac35f,c348ffc8331aa7d852680d3a2dea0d4ff54517035f0c6e965f0be0a2e52ad175,PASS
7,B,384,1,269.72103282392163,0.2733034478253255,c1d75b5b801ff7b9b176c5237be36992d36b3bad65a12af524b9c166f6924ba1,18db07926b7c8b577dbfe6fd1c034579fb747b92345ee3916d2fefef74de54fa,bba0859366c6154c64d2b943a021d95d5dde2f7ee8c9015343f18b98b532f2fc,PASS
7,B,384,2,77.28816344585806,0.0636604093843844,c1d75b5b801ff7b9b176c5237be36992d36b3bad65a12af524b9c166f6924ba1,18db07926b7c8b577dbfe6fd1c034579fb747b92345ee3916d2fefef74de54fa,311e77dfd72a49d1337abebf1abbfcf9cde211f6ec0ac8f9517abb8f81665e56,PASS
7,B,512,1,58.07857948502185,0.048818168120620634,9a06876749202a6716ab4aa4894909f13aaf0ddca25244e1cf2b5e249a1c1550,4de8a69efe12e6c56e547e87043c34e451b5cd9b9f524a632d9091aad73c7ed7,860c2827b3eeb845faa5f7009707d2d424ea01b0ae713e3cae82fbcf3ec11b49,PASS
7,B,512,2,14.590522943844558,0.0096230609884885,9a06876749202a6716ab4aa4894909f13aaf0ddca25244e1cf2b5e249a1c1550,4de8a69efe12e6c56e547e87043c34e451b5cd9b9f524a632d9091aad73c7ed7,8cb1dd2ebdcf8ffae063e7ec15b120bd5d55ea6a8404d7a32ad58b49fb8a8886,PASS
7,B,640,1,11.95793023770501,0.007563881206206224,4185fd8bdc705d4de236c910b66499be1758d91f92c53bcfcf4752df1e3a62dd,071fddd768d44e76b70213d18b0d19fa6a6e38c7b3fbe8bc93d0b4e25438d883,a37347f58ff0cf73cd3bb6811e4c1419ba36a6cdca5ad781423035733a80a6a9,PASS
7,B,640,2,3.6327236089090604,0.0014048226126125792,4185fd8bdc705d4de236c910b66499be1758d91f92c53bcfcf4752df1e3a62dd,071fddd768d44e76b70213d18b0d19fa6a6e38c7b3fbe8bc93d0b4e25438d883,a0f963a880bf78a7326b86e6ca02baefd8d0f950c32efae9b2aeaa9d8916ac46,PASS
7,B,768,1,10.990670394264644,0.006941555042542545,39e604e14844c8f4102b027e171ff4f6af7e793ed1c371977394f50eeb3d65ae,28d6a724765664966454474bede4ba81c1235d4ba2e815561f3f9ed1216aba00,9a2758e6820c6dd1fdb7c9dcdff67adfe6396a1cc0faf971a8fca9d98aa9a50a,PASS
7,B,768,2,3.2896362925216645,0.001637324604604596,39e604e14844c8f4102b027e171ff4f6af7e793ed1c371977394f50eeb3d65ae,28d6a724765664966454474bede4ba81c1235d4ba2e815561f3f9ed1216aba00,0dc8701f994bb587b3a95e3f60e8535ed0914846f2e8ffd6d817c76726d43867,PASS
7,B,896,1,9.95691649510886,0.006211559046546558,3a5a61d18728d54008e109ce7d2b54dddd7c4a0f5c184a9855b6973ff79b4c16,3925ef42a87d78a90f423d88aff603832ffb7c8fb15f28c4d04617cd23984e9b,a4809654909accd88f607aa4133f5046e1c3646a47fc2772597b8a3f3258af2b,PASS
7,B,896,2,2.9325546935724045,0.0011813640465465505,3a5a61d18728d54008e109ce7d2b54dddd7c4a0f5c184a9855b6973ff79b4c16,3925ef42a87d78a90f423d88aff603832ffb7c8fb15f28c4d04617cd23984e9b,879a57b8cea9f69935a05b9aa1baaf63d315bd60c0b2adf830f9bfd987a51148,PASS
7,B,1024,1,9.145345402103668,0.005696745447947983,1faa160b6c54279f762c7a0ed33cc05921c4c595e0ac0cc500a8fd754246597e,ef7b8bf54e7026eb75d6ed5e1c049a0fe965f5c35cb566ed8623145ca8374dd8,ed9cf9f368f744b5a94baa60a10a5addb3a60006de59ff5c574b7cc0203c6679,PASS
7,B,1024,2,2.794581748088466,0.0009533304154154258,1faa160b6c54279f762c7a0ed33cc05921c4c595e0ac0cc500a8fd754246597e,ef7b8bf54e7026eb75d6ed5e1c049a0fe965f5c35cb566ed8623145ca8374dd8,7ebf451bf9c85d23c3680ebbb4b7a2f25a057764272ccbb0906715ac71539fec,PASS
